comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
667,BlRectangleShapeWithArrowExplanation,after doing so we receive the expected vector shape we we can later use together with class blshapegeometry,0,1,Classreferences,after doing so we receive the expected vector shape we we can later use together with class blshapegeometry
1946,FMModel,model fmmodel withmetamodel fmmetamodel fromstring fmheinekenexample metamodelmse .,0,1,Classreferences,model fmmodel withmetamodel fmmetamodel fromstring fmheinekenexample metamodelmse
1951,FMModel,metamodel afmmetamodel the meta model describing my entities.,0,1,Classreferences,metamodel afmmetamodel the meta model describing my entities
3661,RTSVGVisitor2Test,i am a simple test class for rtsvgvisitor2,0,1,Classreferences,i am a simple test class for rtsvgvisitor2
1887,FamixTPackage,"famixpackage represents a package in the source language, meaning that it provides a means to group entities without any baring on lexical scoping.",0,1,Classreferences,famixpackage represents a package in the source language meaning that it provides a means to group entities without any baring on lexical scoping
3683,RTTimelineSetTest,a rttimelinesettest is a test class for testing the behavior of rttimelineset,0,1,Classreferences,a rttimelinesettest is a test class for testing the behavior of rttimelineset
2971,RTAbstractTreeBuilder,rttreemapbuilder,0,1,Classreferences,rttreemapbuilder
1938,FMModel,i will initialize myself with a new fmmetamodel but this one can be replaced by an existing one.,0,1,Classreferences,i will initialize myself with a new fmmetamodel but this one can be replaced by an existing one
2684,PRPillarParserOld,i use the prpillargrammar and i build a prdocument.,0,1,Classreferences,i use the prpillargrammar and i build a prdocument
385,BlKeyCombination,i define an event matching api that allows blshortcuthandler to find the most appropriate shortcut for currently pressed keys.,0,1,Classreferences,i define an event matching api that allows blshortcuthandler to find the most appropriate shortcut for currently pressed keys
2290,TDependencyQueries,the actual core of the algorithms are in moosequerycalculator class.,0,1,Classreferences,the actual core of the algorithms are in moosequerycalculator class
3953,WAErrorHandler,handleerror,0,1,Classreferences,handleerror
2972,RTAbstractTreeBuilder,rtcirculartreemapbuilder,0,1,Classreferences,rtcirculartreemapbuilder
51,BlChildrenCollection,class blchildrenarray stores children using an class array,0,1,Classreferences,class blchildrenarray stores children using an class array
2393,PPPluggableParser,this enables users to perform manual parsing or to embed other parser frameworks into petitparser.,0,1,Classreferences,this enables users to perform manual parsing or to embed other parser frameworks into petitparser
