comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
567,InconsistentS3ClientFactory.java,this client is for testing i only i it is in the production,0,1,usage,this client is for testing i only i it is in the production
5458,Window.java,pre,0,1,usage,pre
195,ComparableVersion.java,li,0,1,usage,li
4699,Grid.java,@param t,0,1,usage,@param t
4275,Binder.java,when a constant,0,1,usage,when a constant
1410,WritableComparator.java,provided to assist in optimized implementations of this method.,0,1,usage,provided to assist in optimized implementations of this method
2869,CacheBuilder.java,p the returned cache is implemented as a hash table with similar performance characteristics to,0,1,usage,p the returned cache is implemented as a hash table with similar performance characteristics to
1716,CConfigurationDescriptionCache.java,@see cprojectdescriptionevent,0,1,usage,@see cprojectdescriptionevent
2885,CacheBuilder.java,comparisons for values.,0,1,usage,comparisons for values
189,ComparableVersion.java,li code rc code or code cr code li,0,1,usage,li code rc code or code cr code li
3816,SmoothRateLimiter.java,it is important to realize that such a ratelimiter has a very superficial memory of the past,0,1,usage,it is important to realize that such a ratelimiter has a very superficial memory of the past
2582,TypedCDTViewerFilter.java,@noextend this class is not intended to be subclassed by clients.,0,1,usage,@noextend this class is not intended to be subclassed by clients
3659,SmoothRateLimiter.java,this is translated to throttling time is discussed later .,0,1,usage,this is translated to throttling time is discussed later
3637,SmoothRateLimiter.java,"the request has become less ready for future requests , ie its caches become stale, and",0,1,usage,the request has become less ready for future requests ie its caches become stale and
2891,CacheBuilder.java,p if @linkplain #maximumsize long maximumsize or @linkplain #maximumweight long,0,1,usage,p if @linkplain maximumsize long maximumsize or @linkplain maximumweight long
3934,SmoothRateLimiter.java,"after granting a request,",0,1,usage,after granting a request
4905,SelectAllEvent.java,@param t,0,1,usage,@param t
2875,CacheBuilder.java,"this means that they are safe for concurrent use, but if other threads",0,1,usage,this means that they are safe for concurrent use but if other threads
3903,SmoothRateLimiter.java,underutilization.,0,1,usage,underutilization
2607,WhiteSpaceOptions.java,preview snippets.,0,1,usage,preview snippets
1898,GnuMakefileGenerator.java,r e s o u r c e v i s i t o r m e t h o d s,0,1,usage,r e s o u r c e v i s i t o r m e t h o d s
4232,Binder.java,"or, alternatively",0,1,usage,or alternatively
1379,Utils.java,it doesnt accept paths having logs.,0,1,usage,it doesnt accept paths having logs
3670,SmoothRateLimiter.java,if we are primarily interested to deal,0,1,usage,if we are primarily interested to deal
2855,CacheBuilder.java,public graph load key key throws anyexception,0,1,usage,public graph load key key throws anyexception
3827,SmoothRateLimiter.java,this is important when the,0,1,usage,this is important when the
4320,Binder.java,"#install , @link #requeststaticinjection , @link #adderror and @link #currentstage are not",0,1,usage,install @link requeststaticinjection @link adderror and @link currentstage are not
1689,CConfigurationDescriptionCache.java,a new cconfigurationdescriptioncache is created,0,1,usage,a new cconfigurationdescriptioncache is created
4299,Binder.java,these names will live in a single flat namespace with all the other names used in your,0,1,usage,these names will live in a single flat namespace with all the other names used in your
4153,AbstractModule.java,"simply extend this class, implement @link #configure , and call the inherited",0,1,usage,simply extend this class implement @link configure and call the inherited
4674,Grid.java,@param t,0,1,usage,@param t
3922,SmoothRateLimiter.java,"us to the point of the next scheduling time, since we always maintain that.",0,1,usage,us to the point of the next scheduling time since we always maintain that
4243,Binder.java,need.,0,1,usage,need
1936,GnuMakefileGenerator.java,entry prefixes look like,0,1,usage,entry prefixes look like
3622,SmoothRateLimiter.java,it is important to realize that such a ratelimiter has a very superficial memory of the past,0,1,usage,it is important to realize that such a ratelimiter has a very superficial memory of the past
4477,DefaultMethodInterceptionTest.java,a base class defining a method with the same signature as foo s default method.,0,1,usage,a base class defining a method with the same signature as foo s default method
2892,CacheBuilder.java,maximumweight is requested entries may be evicted on each cache modification.,0,1,usage,maximumweight is requested entries may be evicted on each cache modification
5459,Window.java,code,0,1,usage,code
4316,Binder.java,in a,0,1,usage,in a
2916,CacheBuilder.java,note that the serialized form does,0,1,usage,note that the serialized form does
4258,Binder.java,must be fully specified.,0,1,usage,must be fully specified
5373,Window.java,a component that represents a floating popup window that can be added to a,0,1,usage,a component that represents a floating popup window that can be added to a
3248,HostAndPort.java,li 2001 db8 1 use @link #requirebracketsforipv6 to prohibit this,0,1,usage,li 2001 db8 1 use @link requirebracketsforipv6 to prohibit this
2846,CacheBuilder.java,cache instances created by @code cachebuilder will not perform any type of eviction.,0,1,usage,cache instances created by @code cachebuilder will not perform any type of eviction
3664,SmoothRateLimiter.java,rate limiter.,0,1,usage,rate limiter
3678,SmoothRateLimiter.java,the,0,1,usage,the
1673,AutotoolsProblemMarkerInfo.java,@noextend this class is not intended to be subclassed by clients.,0,1,usage,@noextend this class is not intended to be subclassed by clients
927,StructureGenerator.java,minwidth minwidth minimum number of subdirectories per directories default is 1,0,1,usage,minwidth minwidth minimum number of subdirectories per directories default is 1
3240,HostAndPort.java,p here are some examples of recognized formats,0,1,usage,p here are some examples of recognized formats
2881,CacheBuilder.java,object#equals equals method to determine equality for keys or values.,0,1,usage,object equals equals method to determine equality for keys or values
2896,CacheBuilder.java,expired entries may be counted by @link,0,1,usage,expired entries may be counted by @link
1951,GnuMakefileGenerator.java,@return a suitable make rule compatible path,0,1,usage,@return a suitable make rule compatible path
4321,Binder.java,"part of the binding edsl you can learn how to use these in the usual way, from the method",0,1,usage,part of the binding edsl you can learn how to use these in the usual way from the method
924,StructureGenerator.java,the synopsis of the command is,0,1,usage,the synopsis of the command is
3123,EqualsTester.java,pre,0,1,usage,pre
1888,GnuMakefileGenerator.java,imanagedbuildermakefilegenerator m e t h o d s,0,1,usage,imanagedbuildermakefilegenerator m e t h o d s
4298,Binder.java,"however, remember that",0,1,usage,however remember that
4685,Grid.java,the grid bean type,0,1,usage,the grid bean type
3643,SmoothRateLimiter.java,"this variable is zero when there is no underutilization,",0,1,usage,this variable is zero when there is no underutilization
4270,Binder.java,that you can t control.,0,1,usage,that you can t control
481,FairOrderingPolicy.java,sizedbasedweight is set to true then an application with high demand,0,1,usage,sizedbasedweight is set to true then an application with high demand
1375,Utils.java,this can be used to list paths of output directory as follows,0,1,usage,this can be used to list paths of output directory as follows
3738,SmoothRateLimiter.java,we would only increase it for arrivals later than the expected one second.,0,1,usage,we would only increase it for arrivals later than the expected one second
308,DelegatingSSLSocketFactory.java,implementation with no changes to the list of enabled ciphers.,0,1,usage,implementation with no changes to the list of enabled ciphers
250,DBProfile.java,p,0,1,usage,p
2464,SourceLookupTest.java,li,0,1,usage,li
3853,SmoothRateLimiter.java,this is translated to throttling time is discussed later .,0,1,usage,this is translated to throttling time is discussed later
480,FairOrderingPolicy.java,if,0,1,usage,if
3632,SmoothRateLimiter.java,"should speed up for a while, to take advantage of these resources.",0,1,usage,should speed up for a while to take advantage of these resources
3653,SmoothRateLimiter.java,"for 10 seconds ie, we expected a request at time x, but we are at time x 10 seconds before",0,1,usage,for 10 seconds ie we expected a request at time x but we are at time x 10 seconds before
1903,GnuMakefileGenerator.java,the context these paths appear in is on the right hand side of a rule header.,0,1,usage,the context these paths appear in is on the right hand side of a rule header
3931,SmoothRateLimiter.java,"arrivals come exactly one second after the previous, then storedpermits is never increased",0,1,usage,arrivals come exactly one second after the previous then storedpermits is never increased
1946,GnuMakefileGenerator.java,p p,0,1,usage,p p
1703,CConfigurationDescriptionCache.java,ul,0,1,usage,ul
2910,CacheBuilder.java,only caches built with,0,1,usage,only caches built with
2128,IInclude.java,@noextend this interface is not intended to be extended by clients.,0,1,usage,@noextend this interface is not intended to be extended by clients
4669,Grid.java,header and footer,0,1,usage,header and footer
3772,SmoothRateLimiter.java,"p in summary, the time it takes to move to the left spend k permits , is equal to the area of",0,1,usage,p in summary the time it takes to move to the left spend k permits is equal to the area of
4159,AbstractModule.java,bind service^class ^to serviceimpl^class ^in singleton^class,0,1,usage,bind service class to serviceimpl class in singleton class
3769,SmoothRateLimiter.java,"the integral of our function, between x permits and x k permits, assuming we want to",0,1,usage,the integral of our function between x permits and x k permits assuming we want to
3819,SmoothRateLimiter.java,"time, then a request arrived and was immediately granted?",0,1,usage,time then a request arrived and was immediately granted
3731,SmoothRateLimiter.java,"expected arrival time of the next request is actually in the past, then the difference now",0,1,usage,expected arrival time of the next request is actually in the past then the difference now
1924,GnuMakefileGenerator.java,the missing header file in a dependency rule as a target it has to build,0,1,usage,the missing header file in a dependency rule as a target it has to build
1789,CPPImplicitVariable.java,"code auto first, second decomposed code",0,1,usage,code auto first second decomposed code
3474,Preconditions.java,h3 @code java^util.objects^requirenonnull h3,0,1,usage,h3 @code java util objects requirenonnull h3
3741,SmoothRateLimiter.java,this is pushed further in the future.,0,1,usage,this is pushed further in the future
4235,Binder.java,guice will,0,1,usage,guice will
2926,CacheBuilder.java,this is,0,1,usage,this is
283,DelegatingSSLSocketFactory.java,system installed openssl.,0,1,usage,system installed openssl
3830,SmoothRateLimiter.java,"on the other hand, past underutilization could mean that the server responsible for handling",0,1,usage,on the other hand past underutilization could mean that the server responsible for handling
3858,SmoothRateLimiter.java,rate limiter.,0,1,usage,rate limiter
3462,Preconditions.java,standard jdk exceptions such as @link java^util.nosuchelementexception or @link,0,1,usage,standard jdk exceptions such as @link java util nosuchelementexception or @link
3324,MultimapBuilder.java,"setmultimap integer, myenum hashenummultimap",0,1,usage,setmultimap integer myenum hashenummultimap
2870,CacheBuilder.java,@link concurrenthashmap .,0,1,usage,@link concurrenthashmap
2909,CacheBuilder.java,calling it should not be necessary with a high throughput cache.,0,1,usage,calling it should not be necessary with a high throughput cache
3918,SmoothRateLimiter.java,this has important consequences it means that the ratelimiter doesn t remember the time of the,0,1,usage,this has important consequences it means that the ratelimiter doesn t remember the time of the
4306,Binder.java,implementation.,0,1,usage,implementation
4302,Binder.java,constructor t lonector getlonectorfromserviceimplviareflection,0,1,usage,constructor t lonector getlonectorfromserviceimplviareflection
2904,CacheBuilder.java,read or write operations.,0,1,usage,read or write operations
3679,SmoothRateLimiter.java,underlying model is a continuous function mapping storedpermits from 00 to maxstoredpermits,0,1,usage,underlying model is a continuous function mapping storedpermits from 00 to maxstoredpermits
2710,ArbitraryInstances.java,immutable empty instances are returned for collection types @code for string @code 0 for,0,1,usage,immutable empty instances are returned for collection types @code for string @code 0 for
2451,SourceLookupTest.java,@link basetestcase#source path directory.,0,1,usage,@link basetestcase source path directory
3345,MultimapBuilder.java,cachebuilder uses the same technique.,0,1,usage,cachebuilder uses the same technique
1948,GnuMakefileGenerator.java,p,0,1,usage,p
723,QuasiMonteCarlo.java,we emphasize numerical approximation of arbitrary integrals in this example.,0,1,usage,we emphasize numerical approximation of arbitrary integrals in this example
4680,Grid.java,pre,0,1,usage,pre
1712,CConfigurationDescriptionCache.java,ul,0,1,usage,ul
640,MapContext.java,@param keyout the key output type from the mapper,0,1,usage,@param keyout the key output type from the mapper
1938,GnuMakefileGenerator.java,"addprefix root ,",0,1,usage,addprefix root
484,FairOrderingPolicy.java,"is to offset the tendency to favor small apps, which could result in",0,1,usage,is to offset the tendency to favor small apps which could result in
4691,Grid.java,@param t,0,1,usage,@param t
3714,SmoothRateLimiter.java,"completely unused, and an expensive acquire 100 request comes.",0,1,usage,completely unused and an expensive acquire 100 request comes
3761,SmoothRateLimiter.java,"li when the ratelimiter is used, this goes left down to zero , since if we have",0,1,usage,li when the ratelimiter is used this goes left down to zero since if we have
3937,SmoothRateLimiter.java,"this implements a bursty ratelimiter, where storedpermits are translated to zero throttling.",0,1,usage,this implements a bursty ratelimiter where storedpermits are translated to zero throttling
3701,SmoothRateLimiter.java,integrals .,0,1,usage,integrals
1697,CConfigurationDescriptionCache.java,li user enters project properties settings,0,1,usage,li user enters project properties settings
253,DBProfile.java,most tuning parameters are based on this url.,0,1,usage,most tuning parameters are based on this url
4234,Binder.java,either of these statements places the @code serviceimpl class into singleton scope.,0,1,usage,either of these statements places the @code serviceimpl class into singleton scope
876,SafeModeException.java,client cannot modified namespace until the safe mode is off.,0,1,usage,client cannot modified namespace until the safe mode is off
3911,SmoothRateLimiter.java,why wait without doing anything?,0,1,usage,why wait without doing anything
3812,SmoothRateLimiter.java,if a request comes and the last request was,0,1,usage,if a request comes and the last request was
3649,SmoothRateLimiter.java,how this works is best explained with an example,0,1,usage,how this works is best explained with an example
2640,AbstractListeningExecutorService.java,"p in addition to @link #execute , subclasses must implement all methods related to shutdown and",0,1,usage,p in addition to @link execute subclasses must implement all methods related to shutdown and
3791,SmoothRateLimiter.java,li the time to go from maxpermits to thresholdpermits is equal to the integral of the,0,1,usage,li the time to go from maxpermits to thresholdpermits is equal to the integral of the
4193,Binder.java,pre,0,1,usage,pre
3891,SmoothRateLimiter.java,this guarantees that we handle,0,1,usage,this guarantees that we handle
192,ComparableVersion.java,li code sp code li,0,1,usage,li code sp code li
1488,JavaStreamingTestExample.java,batches processed exceeds numbatchestimeout .,0,1,usage,batches processed exceeds numbatchestimeout
4273,Binder.java,sets up a constant binding.,0,1,usage,sets up a constant binding
2856,CacheBuilder.java,return createexpensivegraph key,0,1,usage,return createexpensivegraph key
719,QuasiMonteCarlo.java,"f x 1 if 2x 1 1 ^2 2x 2 1 ^2 &lt 1 and f x 0 , otherwise.",0,1,usage,f x 1 if 2x 1 1 2 2x 2 1 2 lt 1 and f x 0 otherwise
3925,SmoothRateLimiter.java,"expected arrival time of the next request is actually in the past, then the difference now",0,1,usage,expected arrival time of the next request is actually in the past then the difference now
5460,Window.java,within the window using helper,0,1,usage,within the window using helper
3656,SmoothRateLimiter.java,"at that point, a request of",0,1,usage,at that point a request of
3614,SmoothRateLimiter.java,"request, and ensure that 1 qps seconds have elapsed since then.",0,1,usage,request and ensure that 1 qps seconds have elapsed since then
3665,SmoothRateLimiter.java,we already know how much time it takes to serve 3 fresh permits if the rate is,0,1,usage,we already know how much time it takes to serve 3 fresh permits if the rate is
3456,Preconditions.java,string formatting itself should not be a concern.,0,1,usage,string formatting itself should not be a concern
4213,Binder.java,this,0,1,usage,this
2186,ITestItem.java,@noimplement this interface is not intended to be implemented by clients.,0,1,usage,@noimplement this interface is not intended to be implemented by clients
4315,Binder.java,"if the two concepts make no sense with each other, you most likely won t be able to do it.",0,1,usage,if the two concepts make no sense with each other you most likely won t be able to do it
3347,MultimapBuilder.java,@since 160,0,1,usage,@since 160
486,FairOrderingPolicy.java,"continuously optional, default false",0,1,usage,continuously optional default false
3854,SmoothRateLimiter.java,"immediately after, assume that an",0,1,usage,immediately after assume that an
296,DelegatingSSLSocketFactory.java,ul,0,1,usage,ul
4696,Grid.java,header and footer,0,1,usage,header and footer
3774,SmoothRateLimiter.java,"p assuming we have saturated demand, the time to go from maxpermits to thresholdpermits is",0,1,usage,p assuming we have saturated demand the time to go from maxpermits to thresholdpermits is
4684,Grid.java,@param t,0,1,usage,@param t
3921,SmoothRateLimiter.java,us to tell immediately see tryacquire timeout whether a particular timeout is enough to get,0,1,usage,us to tell immediately see tryacquire timeout whether a particular timeout is enough to get
1709,CConfigurationDescriptionCache.java,is used to persist the data.,0,1,usage,is used to persist the data
3624,SmoothRateLimiter.java,what if the ratelimiter was unused for a long period of,0,1,usage,what if the ratelimiter was unused for a long period of
3926,SmoothRateLimiter.java,"past is the amount of time that the ratelimiter was formally unused, and it is that amount of",0,1,usage,past is the amount of time that the ratelimiter was formally unused and it is that amount of
1701,CConfigurationDescriptionCache.java,ul,0,1,usage,ul
4294,Binder.java,"differentiating by names is a common enough use case that we provided a standard annotation,",0,1,usage,differentiating by names is a common enough use case that we provided a standard annotation
3734,SmoothRateLimiter.java,we increase storedpermits with the amount of permits,0,1,usage,we increase storedpermits with the amount of permits
2854,CacheBuilder.java,"new cacheloader key, graph",0,1,usage,new cacheloader key graph
200,ComparableVersion.java,represents a numeric item in the version item list.,0,1,usage,represents a numeric item in the version item list
