comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
1877,FAMIXNamespaceGroup,famixnamespacegroup is a moosegroup containing only famix enities of type famixnamespace.,0,1,Intent,famixnamespacegroup is a moosegroup containing only famix enities of type famixnamespace
2542,PRDocumentListAnnotation,i am class representing a documentlistannotation.,0,1,Intent,i am class representing a documentlistannotation
1631,SpartaCanvas,https github^com syrel sparta raw master images spartacanvas 05 blur^png label blur,0,1,Intent,https github com syrel sparta raw master images spartacanvas 05 blur png label blur
3047,RTBox,a rtbox is a rectangular box.,0,1,Intent,a rtbox is a rectangular box
2405,PPScriptingTest,these are some simple demo scripts of parser combinators for the compiler construction course.,0,1,Intent,these are some simple demo scripts of parser combinators for the compiler construction course
2578,PRHTMLCanvas,an html canvas that facilitates writing html to a stream.,0,1,Intent,an html canvas that facilitates writing html to a stream
715,BlSpaceFramePhase,i represent a frame phase.,0,1,Intent,i represent a frame phase
2363,PPInfo,a ppinfo represent the informations around a parsing result and also contain this result.,0,1,Intent,a ppinfo represent the informations around a parsing result and also contain this result
2742,PMAccuracy,accuracy is a framework for testing the numerical accuracy of the results of methods.,0,1,Intent,accuracy is a framework for testing the numerical accuracy of the results of methods
4309,WATagBrush,this is the superclass for all xml element classes.,0,1,Intent,this is the superclass for all xml element classes
1973,FMMSEPrinter,description,0,1,Intent,description
4242,WAPharoXmlEncoder,i am a pharo specific xml encoder.,0,1,Intent,i am a pharo specific xml encoder
1033,GtDiagrammerPicker,i am a scriptable toogle group to display a uniform collection of selectable values.,0,1,Intent,i am a scriptable toogle group to display a uniform collection of selectable values
2186,MooseCustomTask,moosecustomtask is a task perform some computation specified as a block.,0,1,Intent,moosecustomtask is a task perform some computation specified as a block
3670,RTTextWord,a rttextword represents one word of an original text.,0,1,Intent,a rttextword represents one word of an original text
2690,PRPreformatted,i am preformatted text or source code.,0,1,Intent,i am preformatted text or source code
2568,PRFootnote,"i am a footnote, you can create me with",0,1,Intent,i am a footnote you can create me with
2731,PRSyntaxError,an error about syntax,0,1,Intent,an error about syntax
339,BlHostPulseLoop,i am the bloc main loop.,0,1,Intent,i am the bloc main loop
942,BrTextEditor,the moldable editor,0,1,Intent,the moldable editor
3942,WADevelopment,a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak.,0,1,Intent,a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak
2278,PackageBlueprintTestResource,i am a test resource building a famixstmodel with the package blueprint test resource entities.,0,1,Intent,i am a test resource building a famixstmodel with the package blueprint test resource entities
3742,RTWeightedCircleLayout,rtweightedcirclelayout is a circle layout that gives more space to big elements and fewer space to small elements.,0,1,Intent,rtweightedcirclelayout is a circle layout that gives more space to big elements and fewer space to small elements
823,BrExamplesShowroom,i am a collection of showroom examples.,0,1,Intent,i am a collection of showroom examples
1115,GtExampleProcessor,i am an abstract class for manipulating examples.,0,1,Intent,i am an abstract class for manipulating examples
1999,FMRelationSlot,description,0,1,Intent,description
7,BlArrowheadSimpleArrow,both my size and arrow length depend on the curve width.,0,1,Intent,both my size and arrow length depend on the curve width
4206,WAPainterVisitor,an implementation of the visitor pattern for painter subclasses.,0,1,Intent,an implementation of the visitor pattern for painter subclasses
1110,GtExampleInstanceSubject,i am the default subject of an example.,0,1,Intent,i am the default subject of an example
3168,RTEllipseTest,a rtellipsetest is a test class for testing the behavior of rtellipse,0,1,Intent,a rtellipsetest is a test class for testing the behavior of rtellipse
1180,GtGraphCircleEnclosure,smallest enclosing circle of circles,0,1,Intent,smallest enclosing circle of circles
236,BlGeometryAnchorListener,i am an event listener that listens anchor moved event send by anchor,0,1,Intent,i am an event listener that listens anchor moved event send by anchor
4193,WAObjectTag,defines an embedded object.,0,1,Intent,defines an embedded object
3850,WAComboResponse,wacomboresponse is a combination of a buffered and a streaming response.,0,1,Intent,wacomboresponse is a combination of a buffered and a streaming response
4185,WAMemoryInput,this is a seaside internal class.,0,1,Intent,this is a seaside internal class
610,BlMouseProcessor,i am an event processor.,0,1,Intent,i am an event processor
3189,RTExploraBuilderTest,a roexplorabuildertest is xxxxxxxxx.,0,1,Intent,a roexplorabuildertest is xxxxxxxxx
819,BrExampleColoredElementStencil,i am an example of a custom stencil that creates a rounded rectangular element with cusomizable background color and corner radius,0,1,Intent,i am an example of a custom stencil that creates a rounded rectangular element with cusomizable background color and corner radius
2473,PPXPathFilter,i m a node filter.,0,1,Intent,i m a node filter
2588,PRHTMLScriptLanguage,hypertext markup language,0,1,Intent,hypertext markup language
182,BlElementEffect,i am the abstract root class for effects.,0,1,Intent,i am the abstract root class for effects
