comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
1,BlAnchorRelativeToElement,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,0,0,Keyimplementationpoints,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element
3,BlArrowheadExamples,i contain examples of different types of blarrowheadelement,1,0,Keyimplementationpoints,i contain examples of different types of blarrowheadelement
1027,GtDiagrammerEllipseStencil,i create an ellipse element,0,0,Keyimplementationpoints,i create an ellipse element
1029,GtDiagrammerExamples,diagrammer,1,0,Keyimplementationpoints,diagrammer
6,BlArrowheadSimpleArrow,i am a simple arrow like arrowhead.,0,0,Keyimplementationpoints,i am a simple arrow like arrowhead
7,BlArrowheadSimpleArrow,both my size and arrow length depend on the curve width.,1,0,Keyimplementationpoints,both my size and arrow length depend on the curve width
8,BlArrowheadSimpleArrow,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.,0,0,Keyimplementationpoints,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle
9,BlArrowheadSimpleArrow,users can also customise nose angle that tells how wide should the arrow lines be spread.,1,0,Keyimplementationpoints,users can also customise nose angle that tells how wide should the arrow lines be spread
1033,GtDiagrammerPicker,i am a scriptable toogle group to display a uniform collection of selectable values.,0,0,Keyimplementationpoints,i am a scriptable toogle group to display a uniform collection of selectable values
10,BlArrowheadSimpleArrow,the with of the outer arrows can be specified by changing border width of a simple arrow arrowhead.,1,0,Keyimplementationpoints,the with of the outer arrows can be specified by changing border width of a simple arrow arrowhead
1034,GtDiagrammerPicker,picker,0,0,Keyimplementationpoints,picker
11,BlArrowheadSimpleArrow,i support both background and border paint and can have hollow inner triangle.,1,0,Keyimplementationpoints,i support both background and border paint and can have hollow inner triangle
1037,GtDiagrammerPicker,picker display hello .,0,0,Keyimplementationpoints,picker display hello
1038,GtDiagrammerPicker,world .,1,0,Keyimplementationpoints,world
1039,GtDiagrammerPicker,i .,0,0,Keyimplementationpoints,i
1040,GtDiagrammerPicker,am .,1,0,Keyimplementationpoints,am
1041,GtDiagrammerPicker,a .,0,0,Keyimplementationpoints,a
18,BlArrowheadTriangle,i am a triangular arrow head.,1,0,Keyimplementationpoints,i am a triangular arrow head
1042,GtDiagrammerPicker,picker .,0,0,Keyimplementationpoints,picker
19,BlArrowheadTriangle,my size depends on the width of a curve and hence can not be manually specified.,1,0,Keyimplementationpoints,my size depends on the width of a curve and hence can not be manually specified
1043,GtDiagrammerPicker,picker shape astring brtoggle new,0,0,Keyimplementationpoints,picker shape astring brtoggle new
1044,GtDiagrammerPicker,look brmaterialtogglelabelledlook,1,0,Keyimplementationpoints,look brmaterialtogglelabelledlook
21,BlArrowheadTriangle,i support background and border paints.,0,0,Keyimplementationpoints,i support background and border paints
1045,GtDiagrammerPicker,margin blinsets all 3,1,0,Keyimplementationpoints,margin blinsets all 3
22,BlArrowheadTriangle,for hollow arrowhead let background be transparent.,0,0,Keyimplementationpoints,for hollow arrowhead let background be transparent
1046,GtDiagrammerPicker,label astring .,1,0,Keyimplementationpoints,label astring
23,BlArrowheadTriangle,for solid arrowhead make background paint be the same as border paint.,0,0,Keyimplementationpoints,for solid arrowhead make background paint be the same as border paint
1047,GtDiagrammerPicker,picker constraintsdo c,1,0,Keyimplementationpoints,picker constraintsdo c
24,BlArrowheadTriangle,it is possible to specify different paints for border and background,0,0,Keyimplementationpoints,it is possible to specify different paints for border and background
1048,GtDiagrammerPicker,c horizontal exact 400.,1,0,Keyimplementationpoints,c horizontal exact 400
1049,GtDiagrammerPicker,c vertical fitcontent .,0,0,Keyimplementationpoints,c vertical fitcontent
1050,GtDiagrammerPicker,picker when brtoggleactivatedevent do anevent self inform anevent model .,1,0,Keyimplementationpoints,picker when brtoggleactivatedevent do anevent self inform anevent model
1051,GtDiagrammerPicker,picker,0,0,Keyimplementationpoints,picker
32,BlChicken,how to run,1,0,Keyimplementationpoints,how to run
33,BlChicken,blchicken open,0,0,Keyimplementationpoints,blchicken open
36,BlChickenLeg,i am a single red chicken leg with two toes,1,0,Keyimplementationpoints,i am a single red chicken leg with two toes
38,BlChildrenCollection,i am an abstract collection of bloc elements that can be mutated.,0,0,Keyimplementationpoints,i am an abstract collection of bloc elements that can be mutated
39,BlChildrenCollection,i am used by a class blelement to store its children.,1,0,Keyimplementationpoints,i am used by a class blelement to store its children
40,BlChildrenCollection,i provide a data structure independent api for adding and removing children.,0,0,Keyimplementationpoints,i provide a data structure independent api for adding and removing children
41,BlChildrenCollection,i assume an index based way of working with children.,1,0,Keyimplementationpoints,i assume an index based way of working with children
45,BlChildrenCollection,i allow elements to optimize working with children for different scenarious.,0,0,Keyimplementationpoints,i allow elements to optimize working with children for different scenarious
46,BlChildrenCollection,"for example, an array for storing children optimises for accessing fast accesses at any position.",1,0,Keyimplementationpoints,for example an array for storing children optimises for accessing fast accesses at any position
47,BlChildrenCollection,a linked list optimize for fast adding and removing.,0,0,Keyimplementationpoints,a linked list optimize for fast adding and removing
1071,GtDiagrammerStarStencil,i create a star element,1,0,Keyimplementationpoints,i create a star element
48,BlChildrenCollection,"a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.",0,0,Keyimplementationpoints,a rope uses a balanced binary tree to support fast adding removing and accessing with the disadvantage of taking more memory
1073,GtExampleDependenciesResolver,i know how to extract the dependencies of a given example.,1,0,Keyimplementationpoints,i know how to extract the dependencies of a given example
1074,GtExampleDependenciesResolver,the dependencies of a given example consists in message sends to other method constructing an example.,0,0,Keyimplementationpoints,the dependencies of a given example consists in message sends to other method constructing an example
51,BlChildrenCollection,class blchildrenarray stores children using an class array,1,0,Keyimplementationpoints,class blchildrenarray stores children using an class array
52,BlChildrenCollection,class blchildrenlinkedlist stores children using a class linkedlist,0,0,Keyimplementationpoints,class blchildrenlinkedlist stores children using a class linkedlist
53,BlChildrenCollection,class blchildrenorderedcollection stores children using a class orderedcollection,1,0,Keyimplementationpoints,class blchildrenorderedcollection stores children using a class orderedcollection
1080,GtExampleFactory,i am a factory that can create class gtexample instances.,0,0,Keyimplementationpoints,i am a factory that can create class gtexample instances
73,BlChildrenOrderedCollectionExamples,i define examples for the class class blchildrenorderedcollection .,1,0,Keyimplementationpoints,i define examples for the class class blchildrenorderedcollection
77,BlChildrenOrderedCollectionExamples,example blchildrenorderedcollectionexamples #add,0,0,Keyimplementationpoints,example blchildrenorderedcollectionexamples add
78,BlChildrenOrderedCollectionExamples,example blchildrenorderedcollectionexamples #remove,1,0,Keyimplementationpoints,example blchildrenorderedcollectionexamples remove
84,BlChildrenSubset,i capture a subset of children from a class blelement instance.,0,0,Keyimplementationpoints,i capture a subset of children from a class blelement instance
85,BlChildrenSubset,i am an abstract class.,1,0,Keyimplementationpoints,i am an abstract class
1109,GtExampleInstanceSubject,i indicate that the subject of an example is an object.,0,0,Keyimplementationpoints,i indicate that the subject of an example is an object
1110,GtExampleInstanceSubject,i am the default subject of an example.,1,0,Keyimplementationpoints,i am the default subject of an example
87,BlChildrenSubset,i exist to explicitly capture and combine various ways of filtering and iterating over children.,0,0,Keyimplementationpoints,i exist to explicitly capture and combine various ways of filtering and iterating over children
88,BlChildrenSubset,"for example, class blchildrenreversed indicates that the user wants to explicitly iterate over elements in reverse order class blchildrenaccountedbylayout indicates that only should children taken into account by layout should be included.",1,0,Keyimplementationpoints,for example class blchildrenreversed indicates that the user wants to explicitly iterate over elements in reverse order class blchildrenaccountedbylayout indicates that only should children taken into account by layout should be included
89,BlChildrenSubset,the example below shows a scenario of combining multiple ways to iterate over children.,0,0,Keyimplementationpoints,the example below shows a scenario of combining multiple ways to iterate over children
90,BlChildrenSubset,"by having an explicit object for each operation, the composition of operations can be inspected.",1,0,Keyimplementationpoints,by having an explicit object for each operation the composition of operations can be inspected
91,BlChildrenSubset,example blchildrensubsetexamples #childrenwithmultiplecombinedsubsets,0,0,Keyimplementationpoints,example blchildrensubsetexamples childrenwithmultiplecombinedsubsets
1115,GtExampleProcessor,i am an abstract class for manipulating examples.,1,0,Keyimplementationpoints,i am an abstract class for manipulating examples
92,BlChildrenSubset,i do not enforce a lazy api.,0,0,Keyimplementationpoints,i do not enforce a lazy api
1117,GtExampleProcessor,"for example, evaluating an example is to be treated differently from a debugging scenario, or from a scenario to recorver static dependencies.",1,0,Keyimplementationpoints,for example evaluating an example is to be treated differently from a debugging scenario or from a scenario to recorver static dependencies
1118,GtExampleProcessor,i maintain a context that can be accessed from within the examples being processed during the execution of the processor.,0,0,Keyimplementationpoints,i maintain a context that can be accessed from within the examples being processed during the execution of the processor
95,BlChildrenSubset,api,1,0,Keyimplementationpoints,api
1119,GtExampleProcessor,#value execute the processor.,0,0,Keyimplementationpoints,value execute the processor
96,BlChildrenSubset,instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter.,1,0,Keyimplementationpoints,instances of me are created by calling the factory method method blchildrensubset class on on a subclass with an instance of class blchildren as parameter
1120,GtExampleProcessor,"can return a value, depending on the processor.",0,0,Keyimplementationpoints,can return a value depending on the processor
1121,GtExampleProcessor,#canprocess verifies if the processor can execute on the given example.,1,0,Keyimplementationpoints,canprocess verifies if the processor can execute on the given example
1128,GtGradAbstractTreeLayout,this an implementation of a moen s tree layout algorithm.,0,0,Keyimplementationpoints,this an implementation of a moen s tree layout algorithm
1133,GtGradAbstractTreeLayout,"however, this implementation offers the posibility of choosing the orientation vertical or horizontal.",1,0,Keyimplementationpoints,however this implementation offers the posibility of choosing the orientation vertical or horizontal
1142,GtGradAbstractTreeLayout,"in this implementation, we call the polylines contours.",0,0,Keyimplementationpoints,in this implementation we call the polylines contours
1143,GtGradAbstractTreeLayout,"when merging contours, minimum horizontal vertical offsets at which siblings can be placed with resepct to their upper left sibling depending of the layout s orientation are calculated",1,0,Keyimplementationpoints,when merging contours minimum horizontal vertical offsets at which siblings can be placed with resepct to their upper left sibling depending of the layout s orientation are calculated
1144,GtGradAbstractTreeLayout,"once the bottom up traversal is finished, calculation of offsets is finished as well.",0,0,Keyimplementationpoints,once the bottom up traversal is finished calculation of offsets is finished as well
1145,GtGradAbstractTreeLayout,"at that point, the tree is traversed again, but this time from top root to the bottom.",1,0,Keyimplementationpoints,at that point the tree is traversed again but this time from top root to the bottom
1146,GtGradAbstractTreeLayout,"during this second traversal, positions of the tree s nodes are set.",0,0,Keyimplementationpoints,during this second traversal positions of the tree s nodes are set
1147,GtGradAbstractTreeLayout,"calculation of positions factors in the mentioned offsets, as well as the positions of the node s parent and the layout s node and level distance properties.",1,0,Keyimplementationpoints,calculation of positions factors in the mentioned offsets as well as the positions of the node s parent and the layout s node and level distance properties
1148,GtGradAbstractTreeLayout,"additionally, this implementation supports alignment of nodes top, center, bottom in case of the vertical layout and left, center, right in case of the horizontal layout .",0,0,Keyimplementationpoints,additionally this implementation supports alignment of nodes top center bottom in case of the vertical layout and left center right in case of the horizontal layout
1149,GtGradAbstractTreeLayout,"this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level, as well as the differences in sizes of their parents compared to the largest nodes on the parent level.",1,0,Keyimplementationpoints,this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level as well as the differences in sizes of their parents compared to the largest nodes on the parent level
1150,GtGradAbstractTreeLayout,gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine.,0,0,Keyimplementationpoints,gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine
127,BlCompulsoryCombinationTest,this class contains tests,1,0,Keyimplementationpoints,this class contains tests
1151,GtGradAbstractTreeLayout,"generally, the differences between the implementations of the hozitonal and vertical variants are really small, revolving around one using or setting the x and the other y coordinates.",0,0,Keyimplementationpoints,generally the differences between the implementations of the hozitonal and vertical variants are really small revolving around one using or setting the x and the other y coordinates
129,BlConcatenationRopeIterator,i am a special iterator used to iterate over concatenation rope,1,0,Keyimplementationpoints,i am a special iterator used to iterate over concatenation rope
133,BlDecelerateInterpolator,i am an interpolator where the rate of change starts out quickly and and then decelerates.,0,0,Keyimplementationpoints,i am an interpolator where the rate of change starts out quickly and and then decelerates
134,BlDecelerateInterpolator,i am configurable using factor a degree to which the animation should be eased.,1,0,Keyimplementationpoints,i am configurable using factor a degree to which the animation should be eased
148,BlDevScripterCheckFiredEventsStep,i check whether particular class blevent events were fired on a class blelement target.,0,0,Keyimplementationpoints,i check whether particular class blevent events were fired on a class blelement target
149,BlDevScripterCheckFiredEventsStep,example,1,0,Keyimplementationpoints,example
150,BlDevScripterCheckFiredEventsStep,here you can see how to configure a fire and check a click event on a child element,0,0,Keyimplementationpoints,here you can see how to configure a fire and check a click event on a child element
156,BlDevScripterClickStep,"i fire a class blmousedownevent , class blmouseupevent , and class blclickevent .",1,0,Keyimplementationpoints,i fire a class blmousedownevent class blmouseupevent and class blclickevent
1180,GtGraphCircleEnclosure,smallest enclosing circle of circles,0,0,Keyimplementationpoints,smallest enclosing circle of circles
157,BlDevScripterClickStep,example,1,0,Keyimplementationpoints,example
1181,GtGraphCircleEnclosure,i compute the smallest circle that encloses the specified array of circles.,0,0,Keyimplementationpoints,i compute the smallest circle that encloses the specified array of circles
158,BlDevScripterClickStep,here you can see how to configure a fire and check a click event on a child element,1,0,Keyimplementationpoints,here you can see how to configure a fire and check a click event on a child element
1182,GtGraphCircleEnclosure,the enclosing circle is computed using the matou ek sharir welzl http www^inf.ethz^ch personal emo publfiles subexlinprog alg16 96^pdf algorithm.,0,0,Keyimplementationpoints,the enclosing circle is computed using the matou ek sharir welzl http www inf ethz ch personal emo publfiles subexlinprog alg16 96 pdf algorithm
1185,GtGraphCircleEnclosure,example gtgraphcircleenclosureexamples #emptyenclosure previewshow #gtpreviewfor previewheight 300,1,0,Keyimplementationpoints,example gtgraphcircleenclosureexamples emptyenclosure previewshow gtpreviewfor previewheight 300
1186,GtGraphCircleEnclosure,"and add circles one by one, starting with a larger one.",0,0,Keyimplementationpoints,and add circles one by one starting with a larger one
1187,GtGraphCircleEnclosure,a circle enclosure is represented by a cyan circle.,1,0,Keyimplementationpoints,a circle enclosure is represented by a cyan circle
1188,GtGraphCircleEnclosure,an enclosure of a single circle is a special case and can be computed directly by method gtgraphcircleenclosure class #enclosure .,0,0,Keyimplementationpoints,an enclosure of a single circle is a special case and can be computed directly by method gtgraphcircleenclosure class enclosure
1189,GtGraphCircleEnclosure,"note, that the added circle has a margin set which is taken into account by enclosure",1,0,Keyimplementationpoints,note that the added circle has a margin set which is taken into account by enclosure
1190,GtGraphCircleEnclosure,example gtgraphcircleenclosureexamples #enclosurewithonecircle previewshow #gtpreviewfor previewexpanded previewheight 300,0,0,Keyimplementationpoints,example gtgraphcircleenclosureexamples enclosurewithonecircle previewshow gtpreviewfor previewexpanded previewheight 300
167,BlDragDelegate,drag delegate provides drag items when a visual element lifts.,1,0,Keyimplementationpoints,drag delegate provides drag items when a visual element lifts
1191,GtGraphCircleEnclosure,adding a second circle expands the enclosure circle to fit both circles c1 and c2 .,0,0,Keyimplementationpoints,adding a second circle expands the enclosure circle to fit both circles c1 and c2
168,BlDragDelegate,drag gesture fails if there are no drag items,1,0,Keyimplementationpoints,drag gesture fails if there are no drag items
1192,GtGraphCircleEnclosure,two circle enclosure is also a special case and can be derived directly by method gtgraphcircleenclosure class #enclosure and,0,0,Keyimplementationpoints,two circle enclosure is also a special case and can be derived directly by method gtgraphcircleenclosure class enclosure and
1193,GtGraphCircleEnclosure,example gtgraphcircleenclosureexamples #enclosurewithtwocircles previewshow #gtpreviewfor previewexpanded previewheight 300,1,0,Keyimplementationpoints,example gtgraphcircleenclosureexamples enclosurewithtwocircles previewshow gtpreviewfor previewexpanded previewheight 300
1194,GtGraphCircleEnclosure,three circle enclosure is a special case too.,0,0,Keyimplementationpoints,three circle enclosure is a special case too
171,BlElementBoundsExamples,i contain examples of element bounds api,1,0,Keyimplementationpoints,i contain examples of element bounds api
1195,GtGraphCircleEnclosure,method gtgraphcircleenclosure class #enclosure and and is responsible for the computation.,0,0,Keyimplementationpoints,method gtgraphcircleenclosure class enclosure and and is responsible for the computation
1196,GtGraphCircleEnclosure,let s add the third circle to our enclosure to see the result,1,0,Keyimplementationpoints,let s add the third circle to our enclosure to see the result
173,BlElementCenterLeftAnchor,my position is equal to the left center of a reference element,0,0,Keyimplementationpoints,my position is equal to the left center of a reference element
1197,GtGraphCircleEnclosure,example gtgraphcircleenclosureexamples #enclosurewiththreecircles previewshow #gtpreviewfor previewexpanded previewheight 300,1,0,Keyimplementationpoints,example gtgraphcircleenclosureexamples enclosurewiththreecircles previewshow gtpreviewfor previewexpanded previewheight 300
1198,GtGraphCircleEnclosure,"starting with four circles, an enclosure should be computed recursively by building and updating a basis enclosure consisting of one to three circles method gtgraphcircleenclosure class #enclosureall .",0,0,Keyimplementationpoints,starting with four circles an enclosure should be computed recursively by building and updating a basis enclosure consisting of one to three circles method gtgraphcircleenclosure class enclosureall
