comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
2972,RTAbstractTreeBuilder,rtcirculartreemapbuilder,0,1,Collaborators,rtcirculartreemapbuilder
1403,GtLibraryInstallerLogAnnouncement,the ui may want to display them in a transcript,0,1,Collaborators,the ui may want to display them in a transcript
359,BlInfiniteDataSourceItemRangeMoved,sent by,0,1,Collaborators,sent by
2911,PMStepper,the most general stepper type is described by the stepper concept.,0,1,Collaborators,the most general stepper type is described by the stepper concept
987,BrTextEditorSelectionRecorder,i am used to record text selection intervals while user drags mouse over the text editor.,0,1,Collaborators,i am used to record text selection intervals while user drags mouse over the text editor
3141,RTCircleTree,i am a class helper to do the layout in rtcirculartreemapbuilder,0,1,Collaborators,i am a class helper to do the layout in rtcirculartreemapbuilder
1021,GtDiagrammerEditorList,i display a list of editors of an object in a vertical list.,0,1,Collaborators,i display a list of editors of an object in a vertical list
2734,PRUnorderedList,i am typically used for unnumbered lists,0,1,Collaborators,i am typically used for unnumbered lists
800,BlTime,i encapsulate a concept of time and play a role of a time provider for animations or other parts of the system that compute durations or how much time passed since some action.,0,1,Collaborators,i encapsulate a concept of time and play a role of a time provider for animations or other parts of the system that compute durations or how much time passed since some action
4213,WAPath,"the association value is an object of your choosing, which your code uses to restore that page .",0,1,Collaborators,the association value is an object of your choosing which your code uses to restore that page
2970,RTAbstractTreeBuilder,i am a base class for some builders of roassal like,0,1,Collaborators,i am a base class for some builders of roassal like
611,BlMouseProcessor,i convert basic events to more complex events.,0,1,Collaborators,i convert basic events to more complex events
1503,GtRlReleaseConfiguration,"users can configure default options that apply to all repositories from a release, or configure options for individual repositories.",0,1,Collaborators,users can configure default options that apply to all repositories from a release or configure options for individual repositories
399,BlLayout,i am attached to a bloc element and define the visual structure of that bloc element.,0,1,Collaborators,i am attached to a bloc element and define the visual structure of that bloc element
1007,GtConnectorButtonCreatedEvent,i allow connector to be notified and attach its own additional handlers to newly created button,0,1,Collaborators,i allow connector to be notified and attach its own additional handlers to newly created button
194,BlElementRemovedEvent,is sent by an element after it is removed from the parent.,0,1,Collaborators,is sent by an element after it is removed from the parent
2990,RTAxisRenderer,it simply render in a view an axis configuration,0,1,Collaborators,it simply render in a view an axis configuration
3504,RTLinkView,rtlinkview works with rthtml5exporter and,0,1,Collaborators,rtlinkview works with rthtml5exporter and
363,BlInfiniteDataSourceItemRangeMoved,addeventhandleron blinfinitedatasourceitemrangemoved,0,1,Collaborators,addeventhandleron blinfinitedatasourceitemrangemoved
