comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
2322,MIStack.java,stack info depth 2,0,1,rational,stack info depth 2
3629,SmoothRateLimiter.java,"overflow, depending on the real world consequences of not using the expected rate.",0,1,rational,overflow depending on the real world consequences of not using the expected rate
3820,SmoothRateLimiter.java,this ratelimiter would immediately,0,1,rational,this ratelimiter would immediately
418,EditLogTailer.java,p,0,1,rational,p
4801,PopupView.java,constructors,0,1,rational,constructors
5177,VScrollTable.java,to detect if the first visible,0,1,rational,to detect if the first visible
5244,VScrollTable.java,changes to manage mousedown and mouseup,0,1,rational,changes to manage mousedown and mouseup
2690,AbstractSortedKeySortedSetMultimap.java,p this superclass allows @code treemultimap to override methods to return navigable set and,0,1,rational,p this superclass allows @code treemultimap to override methods to return navigable set and
1148,TestTaskCommit.java,we want the test case to,0,1,rational,we want the test case to
4791,PopupView.java,constructors,0,1,rational,constructors
130,CapacitySchedulerPlanFollower.java,"synchronization, and rm restart issues no catch up is necessary .",0,1,rational,synchronization and rm restart issues no catch up is necessary
3118,EqualsTester.java,"p this tests @code foo^equals foo , @code foo^equals null , and a few other operations.",0,1,rational,p this tests @code foo equals foo @code foo equals null and a few other operations
2101,IGDBTraceControl.java,it is used to do such things as start and stop tracing.,0,1,rational,it is used to do such things as start and stop tracing
4812,PopupView.java,methods inherited from abstractcomponentcontainer.,0,1,rational,methods inherited from abstractcomponentcontainer
5266,VScrollTable.java,changes to manage mousedown and mouseup,0,1,rational,changes to manage mousedown and mouseup
1079,TestOMVolumeRequest.java,base test class for volume request.,0,1,rational,base test class for volume request
461,EventWatcher.java,event watcher will send the tracked payload event after a timeout period,0,1,rational,event watcher will send the tracked payload event after a timeout period
305,DelegatingSSLSocketFactory.java,was not changed in order to preserve backwards compatibility.,0,1,rational,was not changed in order to preserve backwards compatibility
3140,EqualsTester.java,ul,0,1,rational,ul
4915,ShouldWriteDataDelegate.java,delegate used by @link designcontext to determine whether container data,0,1,rational,delegate used by @link designcontext to determine whether container data
5243,VScrollTable.java,these are used when jumping between pages when pressing home and end,0,1,rational,these are used when jumping between pages when pressing home and end
5290,VScrollTable.java,example itabpanel just set contained components invisible and back,0,1,rational,example itabpanel just set contained components invisible and back
429,EditLogTailer.java,blindly goes and tries namenodes.,0,1,rational,blindly goes and tries namenodes
5242,VScrollTable.java,to detect if the first visible,0,1,rational,to detect if the first visible
1355,TypedEvent.java,basic event implementation to implement custom events.,0,1,rational,basic event implementation to implement custom events
3222,GwtTestSuite.java,"suite, as the per suite setup is expensive.",0,1,rational,suite as the per suite setup is expensive
306,DelegatingSSLSocketFactory.java,"instead,",0,1,rational,instead
3133,EqualsTester.java,li comparing each object against an instance of an incompatible class returns false,0,1,rational,li comparing each object against an instance of an incompatible class returns false
1607,AbstractCPropertyTab.java,"in this case, we ll able to use",0,1,rational,in this case we ll able to use
5084,VScrollTable.java,lost .,0,1,rational,lost
74,BalancingPolicy.java,cluster is balanced if each node is balanced.,0,1,rational,cluster is balanced if each node is balanced
5250,VScrollTable.java,this method has logic which rows needs to be requested from server when,0,1,rational,this method has logic which rows needs to be requested from server when
2330,MIStack.java,p,0,1,rational,p
5307,VScrollTable.java,"simulates very large table, keeping spacers which take room of",0,1,rational,simulates very large table keeping spacers which take room of
5305,VScrollTable.java,this panel can only contain vscrolltablerow type of widgets.,0,1,rational,this panel can only contain vscrolltablerow type of widgets
462,EventWatcher.java,unless a confirmation from the original event completion event is arrived.,0,1,rational,unless a confirmation from the original event completion event is arrived
5202,VScrollTable.java,overridden due table might not survive of visibility change scroll pos,0,1,rational,overridden due table might not survive of visibility change scroll pos
1614,AbstractCPropertyTab.java,"uniform manner setuplabel , setuptext etc .",0,1,rational,uniform manner setuplabel setuptext etc
5111,VScrollTable.java,this method has logic which rows needs to be requested from server when,0,1,rational,this method has logic which rows needs to be requested from server when
5066,VScrollTable.java,user scrolls.,0,1,rational,user scrolls
3402,ObjectCountHashMap.java,minimizes object allocation and reduces memory footprint.,0,1,rational,minimizes object allocation and reduces memory footprint
307,DelegatingSSLSocketFactory.java,a new mode called default jsse with gcm delegates to the default jsse,0,1,rational,a new mode called default jsse with gcm delegates to the default jsse
789,ReencryptionUpdater.java,"class for finalizing re encrypt edek operations, by updating file xattrs with",0,1,rational,class for finalizing re encrypt edek operations by updating file xattrs with
3130,EqualsTester.java,ul,0,1,rational,ul
5058,VScrollTable.java,these are used when jumping between pages when pressing home and end,0,1,rational,these are used when jumping between pages when pressing home and end
4792,PopupView.java,methods inherited from abstractcomponentcontainer.,0,1,rational,methods inherited from abstractcomponentcontainer
1613,AbstractCPropertyTab.java,several utility methods to create widgets in the,0,1,rational,several utility methods to create widgets in the
5273,VScrollTable.java,user scrolls.,0,1,rational,user scrolls
303,DelegatingSSLSocketFactory.java,the gcm cipher is disabled when running on java 8.,0,1,rational,the gcm cipher is disabled when running on java 8
4795,PopupView.java,most of them are not supported in this implementation.,0,1,rational,most of them are not supported in this implementation
4794,PopupView.java,but mandatory .,0,1,rational,but mandatory
2339,MIStack.java,base class for the iframedmdata object that uses an miframe object to,0,1,rational,base class for the iframedmdata object that uses an miframe object to
