comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
4789,Conv3d,then the values of these weights are,0,1,Expand,then the values of these weights are
5508,SGD,nesterov momentum is based on the formula from,0,1,Expand,nesterov momentum is based on the formula from
5102,EmbeddingBag,attr offsets is required to be a 1d tensor containing the,0,1,Expand,attr offsets is required to be a 1d tensor containing the
726,ProxyModelInheritanceTests,"apps and calls migrate, then verifies that the table has been created.",0,1,Expand,apps and calls migrate then verifies that the table has been created
5095,EmbeddingBag,"attr per index weights tensor, optional",0,1,Expand,attr per index weights tensor optional
3257,NotAny,does not match at the current position.,0,1,Expand,does not match at the current position
410,ListMixin,"function get single external self, i",0,1,Expand,function get single external self i
1145,Struct,"protection of class members like keys, items when using attribute",0,1,Expand,protection of class members like keys items when using attribute
1079,InteractiveShellApp,the following methods should be called by the meth initialize method,0,1,Expand,the following methods should be called by the meth initialize method
5020,DiagonalTensor,diagonal entries set to value and all other entries set to zero.,0,1,Expand,diagonal entries set to value and all other entries set to zero
1737,CategoricalIndex,methods,0,1,Expand,methods
5760,Unfold,"output math n, c times prod text kernel size , l as described above",0,1,Expand,output math n c times prod text kernel size l as described above
4660,Caffe2OperatorTestCase,"test config a namedtuple includes test name, input shape, tag, run backward.",0,1,Expand,test config a namedtuple includes test name input shape tag run backward
3163,MemcachedBytecodeCache,it does not enforce a specific memcache library,0,1,Expand,it does not enforce a specific memcache library
2384,And,may be constructed using the operator.,0,1,Expand,may be constructed using the operator
5114,EmbeddingBag,only supported for mode sum .,0,1,Expand,only supported for mode sum
308,CustomCacheKeyValidationTests,"backend, and override the default key validation.",0,1,Expand,backend and override the default key validation
2383,And,expressions may be separated by whitespace.,0,1,Expand,expressions may be separated by whitespace
1894,IntegerArray,methods,0,1,Expand,methods
5015,DiagonalTensor,example in the numpy documentation.,0,1,Expand,example in the numpy documentation
3701,PrefixLoader,the prefix is delimited from the template by a slash per,0,1,Expand,the prefix is delimited from the template by a slash per
4749,Conv3d,"math in channels c in , out channels c in times k, .",0,1,Expand,math in channels c in out channels c in times k
2885,FollowedBy,name.,0,1,Expand,name
1604,BooleanArray,"pd^array true, false, none , dtype boolean",0,1,Expand,pd array true false none dtype boolean
427,ListMixin,the object using set list.,0,1,Expand,the object using set list
413,ListMixin,"function get single internal self, i",0,1,Expand,function get single internal self i
1966,IntervalDtype,none,0,1,Expand,none
426,ListMixin,"if left undefined, all mutations will result in rebuilding",0,1,Expand,if left undefined all mutations will result in rebuilding
2448,CaseInsensitiveDict,"keys , items , iterkeys , and iteritems",0,1,Expand,keys items iterkeys and iteritems
1769,CategoricalIndex,"ci pd^categoricalindex a , b , c , a , b , c , ordered true,",0,1,Expand,ci pd categoricalindex a b c a b c ordered true
4714,Conv3d,"out n i, c out j bias c out j",0,1,Expand,out n i c out j bias c out j
415,ListMixin,note that if get single internal and get single internal return,0,1,Expand,note that if get single internal and get single internal return
1082,InteractiveShellApp,meth init shell to be implemented by the subclass,0,1,Expand,meth init shell to be implemented by the subclass
