comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
3529,RTPopupTest,popup object,0,1,Keymessages,popup object
2408,PPSea,a ppisland allows for imprecise parsing.,0,1,Keymessages,a ppisland allows for imprecise parsing
3972,WAExpiringCache,when this limit is reached the overflow action is run.,0,1,Keymessages,when this limit is reached the overflow action is run
3408,RTLabeled,canvas object,0,1,Keymessages,canvas object
95,BlChildrenSubset,api,0,1,Keymessages,api
2070,MalHgNode,incoming,0,1,Keymessages,incoming
3974,WAExpiringCache,has to be positive.,0,1,Keymessages,has to be positive
1563,SpartaCanvas,transform create a builder to transform canvas,0,1,Keymessages,transform create a builder to transform canvas
2410,PPSea,"p x, a island, y accepts following inputs",0,1,Keymessages,p x a island y accepts following inputs
4111,WALabelledFormDialog,labelforselector asymbol,0,1,Keymessages,labelforselector asymbol
2222,MooseEntity,important api,0,1,Keymessages,important api
727,BlTextBackgroundAttribute,paint set background paint,0,1,Keymessages,paint set background paint
4214,WAPath,to add to the path use the method wapath pushsegment anobject name lulu .,0,1,Keymessages,to add to the path use the method wapath pushsegment anobject name lulu
2440,PPSea,context,0,1,Keymessages,context
2230,MooseEntity,moosename returns a symbol that should qualify the current entity.,0,1,Keymessages,moosename returns a symbol that should qualify the current entity
3532,RTPopupTest,xxxxx,0,1,Keymessages,xxxxx
3533,RTPopupTest,view,0,1,Keymessages,view
4080,WALabelledFormDialog,user supplied data is placed in the data model.,0,1,Keymessages,user supplied data is placed in the data model
2296,TDependencyQueries,#querylocal asymbol with afamixassociation looks for the associations of the kind afamixassociation in the direction described by the symbol in the receiver.,0,1,Keymessages,querylocal asymbol with afamixassociation looks for the associations of the kind afamixassociation in the direction described by the symbol in the receiver
3410,RTLabeled,highlightable object,0,1,Keymessages,highlightable object
3427,RTLabeled,text,0,1,Keymessages,text
4090,WALabelledFormDialog,the default form has one button ok .,0,1,Keymessages,the default form has one button ok
92,BlChildrenSubset,i do not enforce a lazy api.,0,1,Keymessages,i do not enforce a lazy api
2430,PPSea,context object,0,1,Keymessages,context object
1720,SpartaLine,from get my start point,0,1,Keymessages,from get my start point
1777,TSpartaPaint,repeatx repeat only x axis,0,1,Keymessages,repeatx repeat only x axis
3970,WAExpiringCache,maximumsize,0,1,Keymessages,maximumsize
1451,GtRemoteInspector,message one,0,1,Keymessages,message one
2443,PPSea,xxxxx,0,1,Keymessages,xxxxx
3757,TROSMShape,this shape represent an openstreetmap background object which tracks the camera zoom level and translation to build a view of the corresponding part of the openstreetmap.,0,1,Keymessages,this shape represent an openstreetmap background object which tracks the camera zoom level and translation to build a view of the corresponding part of the openstreetmap
466,BlLayout,i define an api of a layout.,0,1,Keymessages,i define an api of a layout
4215,WAPath,"the name arguement is the association key, the segment argument is the association value.",0,1,Keymessages,the name arguement is the association key the segment argument is the association value
2702,PRScreenshotAnnotation,label prfigure label as would be used in a more classic figure inclusion with caption .,0,1,Keymessages,label prfigure label as would be used in a more classic figure inclusion with caption
2432,PPSea,afterwaterparser,0,1,Keymessages,afterwaterparser
2226,MooseEntity,moosemodel of an entity is must be an instance of moosemodel.,0,1,Keymessages,moosemodel of an entity is must be an instance of moosemodel
2062,MalHgNode,parent malhgnode,0,1,Keymessages,parent malhgnode
4113,WALabelledFormDialog,asymbol #phonenumber iftrue ^ phone number .,0,1,Keymessages,asymbol phonenumber iftrue phone number
3987,WAExpiringCache,#removerelativeoldest remove the entry that hasn t been accessed for the longest time,0,1,Keymessages,removerelativeoldest remove the entry that hasn t been accessed for the longest time
993,BrTextEditorSelectionUpdateCommand,i do the hard job of visually updating selection by requesting segment holders to partially update themselves,0,1,Keymessages,i do the hard job of visually updating selection by requesting segment holders to partially update themselves
2696,PRScreenshotAnnotation,package the targetted package,0,1,Keymessages,package the targetted package
726,BlTextBackgroundAttribute,public api and key messages,0,1,Keymessages,public api and key messages
2761,PMExponentialGenerator,"the default randomgenerator is pmrandom, but can be modified.",0,1,Keymessages,the default randomgenerator is pmrandom but can be modified
3675,RTTextWord,interval of the word in the original text,0,1,Keymessages,interval of the word in the original text
2187,MooseCustomTask,the main api is then,0,1,Keymessages,the main api is then
2056,MalHgNode,attributes dictionary,0,1,Keymessages,attributes dictionary
2517,PRBookTesterVisitor,checkandreportfilenamed starts the visit in a given file.,0,1,Keymessages,checkandreportfilenamed starts the visit in a given file
