comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
3285,ImmutableTable_CustomFieldSerializerBase.java,this class contains static utility methods for writing @link immutabletable gwt field,0,1,summary,this class contains static utility methods for writing @link immutabletable gwt field
618,LoggedTask.java,a @link loggedtask represents a hadoop task that is part of a hadoop job.,0,1,summary,a @link loggedtask represents a hadoop task that is part of a hadoop job
4944,UnknownExtensionConnector.java,connector used as a placeholder for extensions that are not present in the,0,1,summary,connector used as a placeholder for extensions that are not present in the
2768,BloomFilter.java,a bloom filter offers an approximate containment test,0,1,summary,a bloom filter offers an approximate containment test
1361,UniformSizeInputFormat.java,input splits for distcp.,0,1,summary,input splits for distcp
1122,TestSCMDatanodeHeartbeatDispatcher.java,this class tests the behavior of scmdatanodeheartbeatdispatcher.,0,1,summary,this class tests the behavior of scmdatanodeheartbeatdispatcher
1800,CUIPreferenceInitializer.java,this class implements the setting of the cui initial preference store settings.,0,1,summary,this class implements the setting of the cui initial preference store settings
1189,TimelineDataToRetrieve.java,data to retrieve contains the following br,0,1,summary,data to retrieve contains the following br
1127,TestSeveralNameNodes.java,test that we can start several and run with namenodes on the same minicluster,0,1,summary,test that we can start several and run with namenodes on the same minicluster
4784,PopupView.java,a component for displaying a two different views to data.,0,1,summary,a component for displaying a two different views to data
3084,CollectionTestSuiteBuilder.java,settestsuitebuilder .,0,1,summary,settestsuitebuilder
4540,AbstractProperty.java,abstract base class for @link property implementations.,0,1,summary,abstract base class for @link property implementations
1158,TestTaskContext.java,tests context api and @link statusreporter#getprogress via @link taskattemptcontext#getprogress api .,0,1,summary,tests context api and @link statusreporter getprogress via @link taskattemptcontext getprogress api
4861,RpcDataProviderExtension.java,provides vaadin server side container data source to a,0,1,summary,provides vaadin server side container data source to a
3286,ImmutableTable_CustomFieldSerializerBase.java,serializers.,0,1,summary,serializers
3580,RegularImmutableList_CustomFieldSerializer.java,this class implements the gwt serialization of @link regularimmutablelist .,0,1,summary,this class implements the gwt serialization of @link regularimmutablelist
5048,VScrollTable.java,this way we can use seamlessly traditional scrollbars and scrolling to fetch,0,1,summary,this way we can use seamlessly traditional scrollbars and scrolling to fetch
245,CpuTimeTracker.java,utility for sampling and computing cpu usage.,0,1,summary,utility for sampling and computing cpu usage
880,SequenceFileRecordReader.java,an @link recordreader for @link sequencefile s.,0,1,summary,an @link recordreader for @link sequencefile s
3300,LongMathBenchmark.java,benchmarks for the non rounding methods of @code longmath .,0,1,summary,benchmarks for the non rounding methods of @code longmath
1017,TestAddBlock.java,test addblockop is written and read correctly,0,1,summary,test addblockop is written and read correctly
686,OMNodeDetails.java,builder class for omnodedetails.,0,1,summary,builder class for omnodedetails
1879,GDBSourceLookup.java,default implementation of @link igdbsourcelookup,0,1,summary,default implementation of @link igdbsourcelookup
1147,TestTaskCommit.java,files left behind in aborttask.,0,1,summary,files left behind in aborttask
1855,FoldingConfigurationBlock.java,configures c editor folding preferences.,0,1,summary,configures c editor folding preferences
2204,LanguageSettingsProvidersSerializer.java,those are for readability of xml only,0,1,summary,those are for readability of xml only
1778,CPPASTProblem.java,c specific implementation allows actions to visit the problem.,0,1,summary,c specific implementation allows actions to visit the problem
613,LocalizationStatusPBImpl.java,pb impl of @link localizationstatus .,0,1,summary,pb impl of @link localizationstatus
4733,GridSelectionModel.java,the server side interface that controls grid s selection state.,0,1,summary,the server side interface that controls grid s selection state
87,BatchedRequests.java,to place as a batch.,0,1,summary,to place as a batch
412,EditLogTailer.java,fsnamesystem.,0,1,summary,fsnamesystem
5049,VScrollTable.java,more rows instead of paging .,0,1,summary,more rows instead of paging
3046,ClassToInstanceMap.java,"a map, each entry of which maps a java a href http tinyurl^com 2cmwkz raw type a to an",0,1,summary,a map each entry of which maps a java a href http tinyurl com 2cmwkz raw type a to an
98,BlockPlacementStatusWithNodeGroup.java,an implementation of @see blockplacementstatus for,0,1,summary,an implementation of @see blockplacementstatus for
685,OMNodeDetails.java,this class stores om node details.,0,1,summary,this class stores om node details
3590,Resources.java,provides utility methods for working with resources in the classpath.,0,1,summary,provides utility methods for working with resources in the classpath
659,NativeSingleLineParser.java,skyline.,0,1,summary,skyline
511,FileSystemApplicationHistoryStore.java,file system implementation of @link applicationhistorystore .,0,1,summary,file system implementation of @link applicationhistorystore
2770,BloomFilter.java,"but if it claims that an element is i not i contained in it, then this is definitely true.",0,1,summary,but if it claims that an element is i not i contained in it then this is definitely true
1131,TestSwiftFileSystemContract.java,default config set up to point to a filesystem.,0,1,summary,default config set up to point to a filesystem
2548,TracepointActionsPropertyPage.java,property page for tracepoint actions,0,1,summary,property page for tracepoint actions
5042,VScrollTable.java,scrollpanel contains vscrolltablebody object which handles content.,0,1,summary,scrollpanel contains vscrolltablebody object which handles content
352,DelegationTokenIdentifier.java,a delegation token identifier that is specific to hdfs.,0,1,summary,a delegation token identifier that is specific to hdfs
4953,VaadinPortlet.java,this replaces the servlet in servlet portlet 10,0,1,summary,this replaces the servlet in servlet portlet 10
5047,VScrollTable.java,vscrolltablebody to use the exact same space as non rendered rows would use.,0,1,summary,vscrolltablebody to use the exact same space as non rendered rows would use
2146,IMSASTDeclspecList.java,"represents a microsoft attribute specifier, introduced by declspec.",0,1,summary,represents a microsoft attribute specifier introduced by declspec
3282,ImmutableSetHashFloodingDetectionBenchmark.java,benchmark of implementations of @link immutableset#hashfloodingdetected object .,0,1,summary,benchmark of implementations of @link immutableset hashfloodingdetected object
2589,UPCKeyword.java,enumeration of keywords that upc adds to c99.,0,1,summary,enumeration of keywords that upc adds to c99
2531,SpellEvent.java,spell event fired for words detected by a spell check iterator.,0,1,summary,spell event fired for words detected by a spell check iterator
2697,ArbitraryInstances.java,"supplies an arbitrary default instance for a wide range of types, often useful in testing",0,1,summary,supplies an arbitrary default instance for a wide range of types often useful in testing
3230,HostAndPort.java,an immutable representation of a host and port.,0,1,summary,an immutable representation of a host and port
4787,PopupView.java,view is displayed on a popup.,0,1,summary,view is displayed on a popup
690,OpportunisticContainersStatusPBImpl.java,protocol buffer implementation of opportunisticcontainersstatus.,0,1,summary,protocol buffer implementation of opportunisticcontainersstatus
703,PartitionResourcesInfo.java,this class represents queue user resource usage info for a given partition,0,1,summary,this class represents queue user resource usage info for a given partition
878,SchedulerQueueManager.java,context of the queues in scheduler.,0,1,summary,context of the queues in scheduler
4503,ManagedFilterPipeline.java,pipeline.,0,1,summary,pipeline
109,BlockUtils.java,utils functions to help block functions.,0,1,summary,utils functions to help block functions
364,DiskBalancerCluster.java,diskbalancercluster represents the nodes that we are working against.,0,1,summary,diskbalancercluster represents the nodes that we are working against
2760,AtomicDoubleArrayTest.java,unit test for @link atomicdoublearray .,0,1,summary,unit test for @link atomicdoublearray
1430,YarnAuthorizationProvider.java,an implementation of the interface will provide authorization related,0,1,summary,an implementation of the interface will provide authorization related
4182,Binder.java,they may each contribute their own bindings and other registrations.,0,1,summary,they may each contribute their own bindings and other registrations
1032,TestCustomOauthTokenProvider.java,test custom oauth token providers.,0,1,summary,test custom oauth token providers
2100,IGDBTraceControl.java,the tracecontrol service provides access to the debugger tracing functionality.,0,1,summary,the tracecontrol service provides access to the debugger tracing functionality
202,ComparableVersion.java,represents a version list item.,0,1,summary,represents a version list item
898,StreamBaseRecordReader.java,shared functionality for hadoopstreaming formats.,0,1,summary,shared functionality for hadoopstreaming formats
2127,IInclude.java,represents an include declaration in a c translation unit.,0,1,summary,represents an include declaration in a c translation unit
1371,Utils.java,it provides,0,1,summary,it provides
2382,MultiLaunchConfigurationTabGroup.java,tab group for launch group.,0,1,summary,tab group for launch group
2603,WhiteSpaceOptions.java,manage code formatter white space options on a higher level.,0,1,summary,manage code formatter white space options on a higher level
697,Parser.java,a class for parsing outputs,0,1,summary,a class for parsing outputs
4954,VaadinPortlet.java,deployments and handles various portlet requests from the browser.,0,1,summary,deployments and handles various portlet requests from the browser
1474,JavaStreamingTestExample.java,stream arrives as text files in a directory.,0,1,summary,stream arrives as text files in a directory
3773,SmoothRateLimiter.java,the function of width k.,0,1,summary,the function of width k
2637,AbstractListeningExecutorService.java,instances for each @link runnable and @link callable submitted to it.,0,1,summary,instances for each @link runnable and @link callable submitted to it
3040,CacheLoaderTest.java,unit tests for @link cacheloader .,0,1,summary,unit tests for @link cacheloader
3806,SmoothRateLimiter.java,wait as much.,0,1,summary,wait as much
4610,ClientRpcWriter.java,serializes @link clientrpc client rpc invocations to json.,0,1,summary,serializes @link clientrpc client rpc invocations to json
362,DfsServlet.java,a base class for the servlets in dfs.,0,1,summary,a base class for the servlets in dfs
4750,HeaderRow.java,a header row in a grid.,0,1,summary,a header row in a grid
1352,TonyRuntimeFactory.java,implementation of runtimefactory with tony runtime,0,1,summary,implementation of runtimefactory with tony runtime
1124,TestSequenceFile.java,support for flat files of binary key value pairs.,0,1,summary,support for flat files of binary key value pairs
