comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
1164,TermColors,"string, suitable for defining dummy color schemes in terminals which get",0,1,Summary,string suitable for defining dummy color schemes in terminals which get
4736,Conv3d,"a tuple of three ints in which case, the first int is used for the depth dimension,",0,1,Summary,a tuple of three ints in which case the first int is used for the depth dimension
1984,PlotAccessor,make plots of series or dataframe.,0,1,Summary,make plots of series or dataframe
4730,Conv3d,concatenated.,0,1,Summary,concatenated
2225,SetopCheck,to perform the type check in advance.,0,1,Summary,to perform the type check in advance
216,BaseYearArchiveView,list of objects published in a given year.,0,1,Summary,list of objects published in a given year
4213,Adadelta,it has been proposed in adadelta an adaptive learning rate method .,0,1,Summary,it has been proposed in adadelta an adaptive learning rate method
3006,InsecurePlatformWarning,warned when certain ssl configuration is not available on a platform.,0,1,Summary,warned when certain ssl configuration is not available on a platform
1068,HistoryAccessor,access the history database without adding to it.,0,1,Summary,access the history database without adding to it
88,BaseCommand,the base class from which all management commands ultimately,0,1,Summary,the base class from which all management commands ultimately
890,XFrameOptionsDecoratorsTests,tests for the x frame options decorators.,0,1,Summary,tests for the x frame options decorators
318,DatabaseReceiver,used in the tests for the database argument in signals #13552,0,1,Summary,used in the tests for the database argument in signals 13552
5464,Poisson,"creates a poisson distribution parameterized by attr rate , the rate parameter.",0,1,Summary,creates a poisson distribution parameterized by attr rate the rate parameter
4212,Adadelta,implements adadelta algorithm.,0,1,Summary,implements adadelta algorithm
1458,MailpileJinjaLoader,a jinja2 template loader which uses the mailpile configuration,0,1,Summary,a jinja2 template loader which uses the mailpile configuration
3042,Katakana,unicode set for katakana unicode character range,0,1,Summary,unicode set for katakana unicode character range
5507,SGD,implements stochastic gradient descent optionally with momentum .,0,1,Summary,implements stochastic gradient descent optionally with momentum
325,DisallowedModelAdminToField,invalid to field was passed to admin view via url query string,0,1,Summary,invalid to field was passed to admin view via url query string
286,Combinable,provide the ability to combine one or two objects with,0,1,Summary,provide the ability to combine one or two objects with
2,AccessMixin,functionality.,0,1,Summary,functionality
2546,DataViewSequence,a sequence of data views.,0,1,Summary,a sequence of data views
2340,TestDatetimelikeSubtype,tests specific to intervalindex with datetime like subtype,0,1,Summary,tests specific to intervalindex with datetime like subtype
4132,UnlockError,base class for errors arising from attempts to release the lock.,0,1,Summary,base class for errors arising from attempts to release the lock
1454,HashCash,try to collide a hash using the smtorp algorithm,0,1,Summary,try to collide a hash using the smtorp algorithm
589,ModelSignal,of the app label^modelname form.,0,1,Summary,of the app label modelname form
2495,CONSOLE_SCREEN_BUFFER_INFO,struct in wincon^h.,0,1,Summary,struct in wincon h
1456,ListTags,list tags,0,1,Summary,list tags
253,Choices,class for creating enumerated choices.,0,1,Summary,class for creating enumerated choices
210,BaseExpression,base class for all query expressions.,0,1,Summary,base class for all query expressions
3385,Option,options are usually optional values on the command line and,0,1,Summary,options are usually optional values on the command line and
1165,TermColors,confused by color escapes.,0,1,Summary,confused by color escapes
2408,Argument,arguments are positional parameters to a command.,0,1,Summary,arguments are positional parameters to a command
3492,ParseError,this error occurs when the parser encounters a syntax error,0,1,Summary,this error occurs when the parser encounters a syntax error
1058,GeoJSON,geojson expects json able dict,0,1,Summary,geojson expects json able dict
3305,omdict,a multivalue dictionary is a dictionary that can store multiple values per,0,1,Summary,a multivalue dictionary is a dictionary that can store multiple values per
1269,ConfigDict,"a sanity checking, self documenting dictionary of program settings.",0,1,Summary,a sanity checking self documenting dictionary of program settings
1042,capture_output,context manager for capturing stdout err,0,1,Summary,context manager for capturing stdout err
3062,LRUCache,a simple lru cache implementation.,0,1,Summary,a simple lru cache implementation
780,SessionStorage,"store messages in the session that is, django^contrib.sessions .",0,1,Summary,store messages in the session that is django contrib sessions
4728,Conv3d,"layers side by side, each seeing half the input channels,",0,1,Summary,layers side by side each seeing half the input channels
599,MultiValueDict,same key.,0,1,Summary,same key
3334,omdict,the same key.,0,1,Summary,the same key
