comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
2,Abfss.java,this impl delegates to the old filesystem,0,0,summary,this impl delegates to the old filesystem
516,FileSystemApplicationHistoryStore.java,@link #applicationstarted applicationstartdata is supposed to,1,0,summary,@link applicationstarted applicationstartdata is supposed to
517,FileSystemApplicationHistoryStore.java,be invoked first when writing any history data of one application and it will,0,0,summary,be invoked first when writing any history data of one application and it will
6,AbstractContractGetFileStatusTest.java,the tree parameters.,1,0,summary,the tree parameters
518,FileSystemApplicationHistoryStore.java,"open a file, while @link #applicationfinished applicationfinishdata is",0,0,summary,open a file while @link applicationfinished applicationfinishdata is
7,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,1,0,summary,kept small to avoid killing object store test runs too much
519,FileSystemApplicationHistoryStore.java,supposed to be last writing operation and will close the file.,0,0,summary,supposed to be last writing operation and will close the file
8,AbstractContractGetFileStatusTest.java,accept everything.,1,0,summary,accept everything
9,AbstractContractGetFileStatusTest.java,the tree parameters.,0,0,summary,the tree parameters
10,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,1,0,summary,kept small to avoid killing object store test runs too much
11,AbstractContractGetFileStatusTest.java,accept nothing.,0,0,summary,accept nothing
1035,TestCustomOauthTokenProvider.java,instead this just checks that the creation works and that everything,1,0,summary,instead this just checks that the creation works and that everything
12,AbstractContractGetFileStatusTest.java,the tree parameters.,0,0,summary,the tree parameters
1036,TestCustomOauthTokenProvider.java,is propagated.,1,0,summary,is propagated
13,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,0,0,summary,kept small to avoid killing object store test runs too much
14,AbstractContractGetFileStatusTest.java,path filter which only expects paths whose final name element,1,0,summary,path filter which only expects paths whose final name element
15,AbstractContractGetFileStatusTest.java,equals the @code match field.,0,0,summary,equals the @code match field
16,AbstractContractGetFileStatusTest.java,the tree parameters.,1,0,summary,the tree parameters
17,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,0,0,summary,kept small to avoid killing object store test runs too much
