comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
118,BaseCommand,"all of their logic in handle , or perform some additional",0,1,DevelopmentNotes,all of their logic in handle or perform some additional
5645,TransformerEncoderLayer,"lukasz kaiser, and illia polosukhin.",0,1,DevelopmentNotes,lukasz kaiser and illia polosukhin
1176,UserMagics,use this class to isolate the magics defined dynamically by the user into,0,1,DevelopmentNotes,use this class to isolate the magics defined dynamically by the user into
3517,ParseResults,integer^setresultsname day,0,1,DevelopmentNotes,integer setresultsname day
5650,TransformerEncoderLayer,users may modify or implement,0,1,DevelopmentNotes,users may modify or implement
506,MigrationGraph,there are,0,1,DevelopmentNotes,there are
2937,HebrewProber,"fact some kind of hebrew, logical or visual.",0,1,DevelopmentNotes,fact some kind of hebrew logical or visual
2449,CaseInsensitiveDict,will contain case sensitive keys.,0,1,DevelopmentNotes,will contain case sensitive keys
898,XFrameOptionsMiddleware,"response from being loaded in a frame in any site, set x frame options in",0,1,DevelopmentNotes,response from being loaded in a frame in any site set x frame options in
2384,And,may be constructed using the operator.,0,1,DevelopmentNotes,may be constructed using the operator
2960,HebrewProber,"disjointed from the model probers, the results of the hebrewprober",0,1,DevelopmentNotes,disjointed from the model probers the results of the hebrewprober
3523,ParseResults,"print %s %s % s, fn eval s",0,1,DevelopmentNotes,print s s s fn eval s
4152,_OpNamespace,1,0,1,DevelopmentNotes,1
3514,ParseResults,integer word nums,0,1,DevelopmentNotes,integer word nums
4166,_OpNamespace,operation will already exist .,0,1,DevelopmentNotes,operation will already exist
3022,InternalName,meth jinja2^parser.parser^free identifier method that creates,0,1,DevelopmentNotes,meth jinja2 parser parser free identifier method that creates
2502,Context_,be created by hand.,0,1,DevelopmentNotes,be created by hand
3518,ParseResults,# equivalent form,0,1,DevelopmentNotes,equivalent form
3025,InternalName,template and is not threated specially by the compiler.,0,1,DevelopmentNotes,template and is not threated specially by the compiler
1108,Magics,vs. %cd .,0,1,DevelopmentNotes,vs cd
2883,FollowedBy,if any results names are defined,0,1,DevelopmentNotes,if any results names are defined
2543,CookieConflictError,use ^get and ^set and include domain and path args in order to be more specific.,0,1,DevelopmentNotes,use get and set and include domain and path args in order to be more specific
4144,_OpNamespace,an op namespace to dynamically bind operators into python.,0,1,DevelopmentNotes,an op namespace to dynamically bind operators into python
612,MultiValueDict,"which returns a list for every key, even though most web forms submit",0,1,DevelopmentNotes,which returns a list for every key even though most web forms submit
5746,Unfold,equality holds,0,1,DevelopmentNotes,equality holds
2881,FollowedBy,followedby,0,1,DevelopmentNotes,followedby
895,XFrameOptionsMiddleware,"by default, set the x frame options header to sameorigin , meaning the",0,1,DevelopmentNotes,by default set the x frame options header to sameorigin meaning the
5743,Unfold,", fold params",0,1,DevelopmentNotes,fold params
2884,FollowedBy,"in the lookahead expression, those will be returned for access by",0,1,DevelopmentNotes,in the lookahead expression those will be returned for access by
