comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
2038,MalBreadthFirstSearchPath,"it starts at the tree root or some arbitrary node of a graph, sometimes referred to as a search key and explores the neighbor nodes first, before moving to the next level neighbours.",0,1,Responsibilities,it starts at the tree root or some arbitrary node of a graph sometimes referred to as a search key and explores the neighbor nodes first before moving to the next level neighbours
3393,RTHistogramSet,frequency on y and a collection of values per bars on x.,0,1,Responsibilities,frequency on y and a collection of values per bars on x
4319,WAUpTimeTracker,wauptimetracker is used to track the timestamp when the image last booted.,0,1,Responsibilities,wauptimetracker is used to track the timestamp when the image last booted
4191,WAMemoryToolPlugin,i display the memory usage tool.,0,1,Responsibilities,i display the memory usage tool
1490,GtRlMajorVersionComputation,i reset both the patch and minor parts of the version number to zero.,0,1,Responsibilities,i reset both the patch and minor parts of the version number to zero
2907,PMStepper,basic steppers execute one timestep of a specific order with a given stepsize.,0,1,Responsibilities,basic steppers execute one timestep of a specific order with a given stepsize
40,BlChildrenCollection,i provide a data structure independent api for adding and removing children.,0,1,Responsibilities,i provide a data structure independent api for adding and removing children
4253,WAProtectionFilter,"do add this filter to a wasession for example to avoid session hijacking, do not add it to static request handlers such as waapplication or wadispatcher as this might restrict access to the handler if your ip changes.",0,1,Responsibilities,do add this filter to a wasession for example to avoid session hijacking do not add it to static request handlers such as waapplication or wadispatcher as this might restrict access to the handler if your ip changes
708,BlScalableFitWidthStrategy,i make sure that content element fits horizontally within scalable element.,0,1,Responsibilities,i make sure that content element fits horizontally within scalable element
217,BlExampleElementWithBrokenOnLayout,i am an element with a broken onlayout method that throws error subscriptoutofbounds,0,1,Responsibilities,i am an element with a broken onlayout method that throws error subscriptoutofbounds
2548,PRDocumentListAnnotation,"when no template file is specified, abstracts are generated as documentgroup containing different files elements.",0,1,Responsibilities,when no template file is specified abstracts are generated as documentgroup containing different files elements
4184,WAMemoryInput,a wamemoryinput is a dialog that allows the user to enter an amount of memory.,0,1,Responsibilities,a wamemoryinput is a dialog that allows the user to enter an amount of memory
3502,RTLinkView,i allow to export several views,0,1,Responsibilities,i allow to export several views
721,BlSpartaMozSkiaCanvasBuilder,i build sparta canvas using moz2d backend,0,1,Responsibilities,i build sparta canvas using moz2d backend
233,BlGeometry,the geometry is used to define the geometry to be drawn and the interaction area.,0,1,Responsibilities,the geometry is used to define the geometry to be drawn and the interaction area
1766,TSpartaPaint,"a paint is transformable and can be used with one of extend modes, for example repeat, reflect or clamp.",0,1,Responsibilities,a paint is transformable and can be used with one of extend modes for example repeat reflect or clamp
2099,MalKruskal,"this means it finds a subset of the edges that forms a tree that includes every vertex, where the total weight of all the edges in the tree is minimized.",0,1,Responsibilities,this means it finds a subset of the edges that forms a tree that includes every vertex where the total weight of all the edges in the tree is minimized
3540,RTRectangleAttachPoint,continuous attach point which presumes both shapes are not rotated rectangles,0,1,Responsibilities,continuous attach point which presumes both shapes are not rotated rectangles
2742,PMAccuracy,accuracy is a framework for testing the numerical accuracy of the results of methods.,0,1,Responsibilities,accuracy is a framework for testing the numerical accuracy of the results of methods
4088,WALabelledFormDialog,to use other html widgets for input for a datum implement the method renderxxxon where xxx is the symbol for the row.,0,1,Responsibilities,to use other html widgets for input for a datum implement the method renderxxxon where xxx is the symbol for the row
1402,GtLibraryInstallerLogAnnouncement,i am sent by installer when it tries to log some messages.,0,1,Responsibilities,i am sent by installer when it tries to log some messages
1018,GtDiagrammerDummyTool,i am a dummy tool that does nothing,0,1,Responsibilities,i am a dummy tool that does nothing
2474,PPXPathFilter,a xpath node applies me to filter xml elements.,0,1,Responsibilities,a xpath node applies me to filter xml elements
1027,GtDiagrammerEllipseStencil,i create an ellipse element,0,1,Responsibilities,i create an ellipse element
3845,WACancelButtonTag,creates a cancel submit button.,0,1,Responsibilities,creates a cancel submit button
1436,GtProtoTasker,tasker is responsible for collectin class gttaskertask tasks and executing them when requested.,0,1,Responsibilities,tasker is responsible for collectin class gttaskertask tasks and executing them when requested
950,BrTextEditorCursorElementRemovedEvent,i am sent by the text editor element when an element playing a role of the cursor is removed from the editor,0,1,Responsibilities,i am sent by the text editor element when an element playing a role of the cursor is removed from the editor
3852,WAComboResponse,"if streaming is desired, the response can be flushed by sending it the #flush message.",0,1,Responsibilities,if streaming is desired the response can be flushed by sending it the flush message
3145,RTCPQualitative,"qualitative schemes do not imply magnitude differences between legend classes, and hues are used to create the primary visual differences between classes.",0,1,Responsibilities,qualitative schemes do not imply magnitude differences between legend classes and hues are used to create the primary visual differences between classes
2551,PRDocumentListAnnotation,you have to specify complete path starting from the project directory.,0,1,Responsibilities,you have to specify complete path starting from the project directory
1498,GtRlNode,i am an abstraction for a type of dependency in the loading configuration of a system.,0,1,Responsibilities,i am an abstraction for a type of dependency in the loading configuration of a system
1464,GtRlBaselineTagReleaseStrategy,i am a release strategy that uses the current loaded tag for a repository as the version number.,0,1,Responsibilities,i am a release strategy that uses the current loaded tag for a repository as the version number
2902,PMStateTime,it holds both a state and a time.,0,1,Responsibilities,it holds both a state and a time
1913,FMFutureProperty,i will be useful until all my values are resolved.,0,1,Responsibilities,i will be useful until all my values are resolved
1466,GtRlBaselineTagReleaseStrategy,the version number already exists in the repository.,0,1,Responsibilities,the version number already exists in the repository
1149,GtGradAbstractTreeLayout,"this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level, as well as the differences in sizes of their parents compared to the largest nodes on the parent level.",0,1,Responsibilities,this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level as well as the differences in sizes of their parents compared to the largest nodes on the parent level
73,BlChildrenOrderedCollectionExamples,i define examples for the class class blchildrenorderedcollection .,0,1,Responsibilities,i define examples for the class class blchildrenorderedcollection
2544,PRDocumentListAnnotation,i can choose the number of files to take and the way to sort them.,0,1,Responsibilities,i can choose the number of files to take and the way to sort them
4080,WALabelledFormDialog,user supplied data is placed in the data model.,0,1,Responsibilities,user supplied data is placed in the data model
2284,TDependencyQueries,"this trait provides a common, paradigm agnostic vocabulary to query dependencies of software entities.",0,1,Responsibilities,this trait provides a common paradigm agnostic vocabulary to query dependencies of software entities
4247,WAPlugin,"the appearance of all plugins, such as icons, has to be configured using css.",0,1,Responsibilities,the appearance of all plugins such as icons has to be configured using css
3572,RTRotatedLabel,a rtrotatedlabel describes rotated labels.,0,1,Responsibilities,a rtrotatedlabel describes rotated labels
1555,SpartaCanvas,they can be found in filters protocol.,0,1,Responsibilities,they can be found in filters protocol
2037,MalBreadthFirstSearchPath,breadth first search bfs is an algorithm for traversing or searching tree or graph data structures.,0,1,Responsibilities,breadth first search bfs is an algorithm for traversing or searching tree or graph data structures
2644,PRPhase,a phase holds a configuration.,0,1,Responsibilities,a phase holds a configuration
173,BlElementCenterLeftAnchor,my position is equal to the left center of a reference element,0,1,Responsibilities,my position is equal to the left center of a reference element
1002,GtABAddress,i hold all data relevant for an address,0,1,Responsibilities,i hold all data relevant for an address
117,BlClickEvent,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.,0,1,Responsibilities,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element
3949,WAEncoder,i encode everything that is written to myself using #nextput and #nextputall onto the wrapped stream.,0,1,Responsibilities,i encode everything that is written to myself using nextput and nextputall onto the wrapped stream
2725,PRShowClassTransformer,i know how to visit a showclass annotation and the way to transform it.,0,1,Responsibilities,i know how to visit a showclass annotation and the way to transform it
3683,RTTimelineSetTest,a rttimelinesettest is a test class for testing the behavior of rttimelineset,0,1,Responsibilities,a rttimelinesettest is a test class for testing the behavior of rttimelineset
3952,WAErrorHandler,waerrorhandler catches errors and warnings and provides two methods for handling each type of exception,0,1,Responsibilities,waerrorhandler catches errors and warnings and provides two methods for handling each type of exception
4211,WAPath,"wapath maintains a stack of associations, one for each location or page in the path.",0,1,Responsibilities,wapath maintains a stack of associations one for each location or page in the path
2021,KGBForMetricsTestResource,i am a test resource building a famixstmodel with some of kgb packages used for metrics tests.,0,1,Responsibilities,i am a test resource building a famixstmodel with some of kgb packages used for metrics tests
399,BlLayout,i am attached to a bloc element and define the visual structure of that bloc element.,0,1,Responsibilities,i am attached to a bloc element and define the visual structure of that bloc element
2675,PRPillarParserMain,i m responsible for starting the parsing process of a pillar document.,0,1,Responsibilities,i m responsible for starting the parsing process of a pillar document
4206,WAPainterVisitor,an implementation of the visitor pattern for painter subclasses.,0,1,Responsibilities,an implementation of the visitor pattern for painter subclasses
394,BlKeyCombinationConverterCNF,i transform composite key combination formula into a cnf https en^wikipedia.org wiki conjunctive normal form,0,1,Responsibilities,i transform composite key combination formula into a cnf https en wikipedia org wiki conjunctive normal form
2482,PRAbstractCommand,i m usually invoked from a command line but not only.,0,1,Responsibilities,i m usually invoked from a command line but not only
953,BrTextEditorExamples,today we will learn how to compose an editor,0,1,Responsibilities,today we will learn how to compose an editor
2574,PRHeadingLevelOffsetTransformer,convert from the level of a pillar heading to the level of heading in the exported document.,0,1,Responsibilities,convert from the level of a pillar heading to the level of heading in the exported document
2545,PRDocumentListAnnotation,we can also choose they way abstracts will be represented by specifying templates.,0,1,Responsibilities,we can also choose they way abstracts will be represented by specifying templates
2026,LANInterface,lan interface comments for testing purposes.,0,1,Responsibilities,lan interface comments for testing purposes
543,BlLocalImageCacheTest,this class contains tests,0,1,Responsibilities,this class contains tests
1915,FMFutureProperty,"in that case, i ll push my values in real property.",0,1,Responsibilities,in that case i ll push my values in real property
4198,WAOptionGroupTag,the optgroup element allows authors to group choices logically.,0,1,Responsibilities,the optgroup element allows authors to group choices logically
819,BrExampleColoredElementStencil,i am an example of a custom stencil that creates a rounded rectangular element with cusomizable background color and corner radius,0,1,Responsibilities,i am an example of a custom stencil that creates a rounded rectangular element with cusomizable background color and corner radius
1109,GtExampleInstanceSubject,i indicate that the subject of an example is an object.,0,1,Responsibilities,i indicate that the subject of an example is an object
931,BrPagerPagePreviewResizeListener,i update the size of a page preview element in a scroll bar according to the size of a corresponding page,0,1,Responsibilities,i update the size of a page preview element in a scroll bar according to the size of a corresponding page
84,BlChildrenSubset,i capture a subset of children from a class blelement instance.,0,1,Responsibilities,i capture a subset of children from a class blelement instance
2514,PRBookTesterVisitor,"therefore, i only redefine visitcodeblock and specify it with the different parameters the codelock may have.",0,1,Responsibilities,therefore i only redefine visitcodeblock and specify it with the different parameters the codelock may have
1074,GtExampleDependenciesResolver,the dependencies of a given example consists in message sends to other method constructing an example.,0,1,Responsibilities,the dependencies of a given example consists in message sends to other method constructing an example
4043,WAIframeTag,the iframe element allows authors to insert a frame within a block of text.,0,1,Responsibilities,the iframe element allows authors to insert a frame within a block of text
185,BlElementEffect,i can influence the bounds of my owner used to clip my owner .,0,1,Responsibilities,i can influence the bounds of my owner used to clip my owner
2927,RTAbout,i am a class that display general information about roassal,0,1,Responsibilities,i am a class that display general information about roassal
4271,WASelection,waselection creates a selectable list.,0,1,Responsibilities,waselection creates a selectable list
2738,PRWatcher,"each 5 seconds, the website is regenerated",0,1,Responsibilities,each 5 seconds the website is regenerated
713,BlSpaceEventExamples,i contain examples of space related events,0,1,Responsibilities,i contain examples of space related events
2349,TOODependencyQueries,a toodependencyqueries defines a vocabulary to compute dependencies of object oriented entities.,0,1,Responsibilities,a toodependencyqueries defines a vocabulary to compute dependencies of object oriented entities
236,BlGeometryAnchorListener,i am an event listener that listens anchor moved event send by anchor,0,1,Responsibilities,i am an event listener that listens anchor moved event send by anchor
2824,PMLineSearch,"the method is initialized by g 0 , g 1 and g 0 .",0,1,Responsibilities,the method is initialized by g 0 g 1 and g 0
1,BlAnchorRelativeToElement,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,0,1,Responsibilities,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element
998,Gt4XMLHighlightedToken,this class stores a highlight textcolor and 1 based start end highlight positions.,0,1,Responsibilities,this class stores a highlight textcolor and 1 based start end highlight positions
1411,GtPhlowForwarderView,i create the object only if someone clicks on my tab view .,0,1,Responsibilities,i create the object only if someone clicks on my tab view
2178,ManifestMooseQuery,i store metadata for this package.,0,1,Responsibilities,i store metadata for this package
4210,WAPath,wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz .,0,1,Responsibilities,wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz
357,BlInfiniteDataSourceItemRangeMoved,this is a structural change event.,0,1,Responsibilities,this is a structural change event
45,BlChildrenCollection,i allow elements to optimize working with children for different scenarious.,0,1,Responsibilities,i allow elements to optimize working with children for different scenarious
23,BlArrowheadTriangle,for solid arrowhead make background paint be the same as border paint.,0,1,Responsibilities,for solid arrowhead make background paint be the same as border paint
183,BlElementEffect,i define the default drawing strategy before & after .,0,1,Responsibilities,i define the default drawing strategy before after
3146,RTCPQualitative,qualitative schemes are best suited to representing nominal or categorical data.,0,1,Responsibilities,qualitative schemes are best suited to representing nominal or categorical data
1014,GtDiagrammerArrowheadFilledTriangleStencil,i create a filled triangle arrowhead,0,1,Responsibilities,i create a filled triangle arrowhead
2549,PRDocumentListAnnotation,with templates the annotation is remplaced by a raw document in html.,0,1,Responsibilities,with templates the annotation is remplaced by a raw document in html
929,BrMaterialToggleBackgroundLook,i describe how background of a material toggle button changes due to toggle events,0,1,Responsibilities,i describe how background of a material toggle button changes due to toggle events
1021,GtDiagrammerEditorList,i display a list of editors of an object in a vertical list.,0,1,Responsibilities,i display a list of editors of an object in a vertical list
1410,GtPhlowForwarderView,"i am also useful in situtions, when the object is created only for the purpose of the view.",0,1,Responsibilities,i am also useful in situtions when the object is created only for the purpose of the view
3946,WADynamicVariable,i exist for legacy purposes.,0,1,Responsibilities,i exist for legacy purposes
1548,SpartaCanvas,overview,0,1,Responsibilities,overview
1813,TSpFontDescriptor,"i am a helper trait that defines basic font properties such as weight, style and stretch",0,1,Responsibilities,i am a helper trait that defines basic font properties such as weight style and stretch
2986,RTAttachPoint,an attach point indicates where lines start and end.,0,1,Responsibilities,an attach point indicates where lines start and end
2393,PPPluggableParser,this enables users to perform manual parsing or to embed other parser frameworks into petitparser.,0,1,Responsibilities,this enables users to perform manual parsing or to embed other parser frameworks into petitparser
620,BlPerpendicularFractionAnchor,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,0,1,Responsibilities,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors
167,BlDragDelegate,drag delegate provides drag items when a visual element lifts.,0,1,Responsibilities,drag delegate provides drag items when a visual element lifts
