comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
1666,CategoricalDtype,examples,0,1,Usage,examples
3532,ParseResults,"list result 1999 , , 12 , , 31",0,1,Usage,list result 1999 12 31
2276,StringArray,stringarray,0,1,Usage,stringarray
1306,ConfigDict,123,0,1,Usage,123
3810,Retry,"retries retry connect 5, read 2, redirect 5",0,1,Usage,retries retry connect 5 read 2 redirect 5
5429,NetModifier,example usage,0,1,Usage,example usage
101,BaseCommand,the run from argv method calls create parser to get,0,1,Usage,the run from argv method calls create parser to get
1520,VCardStore,vcs^get vcard d@evil^com is none,0,1,Usage,vcs get vcard d@evil com is none
5770,Unfold,"inp torch^randn 1, 3, 10, 12",0,1,Usage,inp torch randn 1 3 10 12
5607,Task,of the task have finished.,0,1,Usage,of the task have finished
1901,IntegerArray,int array,0,1,Usage,int array
1483,StorageBackedLongs,sbl^save,0,1,Usage,sbl save
4035,SkipTo,"string data skipto sep, ignore quotedstring",0,1,Usage,string data skipto sep ignore quotedstring
3509,ParseResults,as a list len results,0,1,Usage,as a list len results
1192,YouTubeVideo,display vid,0,1,Usage,display vid
5659,TransformerEncoderLayer,"encoder layer nn^transformerencoderlayer d model 512, nhead 8",0,1,Usage,encoder layer nn transformerencoderlayer d model 512 nhead 8
5471,Poisson,tensor 3.,0,1,Usage,tensor 3
1507,VCardStore,"vcs^add vcards mailpilevcard vcardline fn dude ,",0,1,Usage,vcs add vcards mailpilevcard vcardline fn dude
3997,Session,or as a context manager,0,1,Usage,or as a context manager
4050,SkipTo,days open 14,0,1,Usage,days open 14
5221,FisherSnedecor,"m fishersnedecor torch^tensor 10 , torch^tensor 20",0,1,Usage,m fishersnedecor torch tensor 10 torch tensor 20
3324,omdict,"items , keys , values , iteritems , iterkeys , itervalues ,",0,1,Usage,items keys values iteritems iterkeys itervalues
3748,Request,usage,0,1,Usage,usage
26,Atomic,a stack of savepoints identifiers is maintained as an attribute of the,0,1,Usage,a stack of savepoints identifiers is maintained as an attribute of the
5598,Task,"ops^copy globl, local",0,1,Usage,ops copy globl local
2274,StringArray,"pd^array this is , some text , none, data.",0,1,Usage,pd array this is some text none data
5213,ExternalInitializer,executed.,0,1,Usage,executed
5569,StackTransform,y t x,0,1,Usage,y t x
2452,CaseInsensitiveDict,cid caseinsensitivedict,0,1,Usage,cid caseinsensitivedict
