comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
3789,TROSMShape,algorithm,0,1,Keyimplementationpoints,algorithm
4045,WAIframeTag,the information to be inserted inline is designated by the src attribute of this element.,0,1,Keyimplementationpoints,the information to be inserted inline is designated by the src attribute of this element
2291,TDependencyQueries,most of the generic methods takes a symbol to describe the direction.,0,1,Keyimplementationpoints,most of the generic methods takes a symbol to describe the direction
564,BlMatrixDecomposition,scale,0,1,Keyimplementationpoints,scale
254,BlGridLayout,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout.,0,1,Keyimplementationpoints,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout
428,BlLayout,"the space only allows layout requests during the layouting phase a limited number of times method blspace #computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame.",0,1,Keyimplementationpoints,the space only allows layout requests during the layouting phase a limited number of times method blspace computelayout to avoid blocking rendering due to infinite recursions caused by layout requests or void spending too much time on layouts in a frame
1529,SpartaCairoTextMetrics,"because text extents are in user space coordinates, they are mostly, but not entirely, independent of the current transformation matrix.",0,1,Keyimplementationpoints,because text extents are in user space coordinates they are mostly but not entirely independent of the current transformation matrix
248,BlGridLayout,"each line is assigned to an index, meaning that a grid with n columns would have n 1 line.",0,1,Keyimplementationpoints,each line is assigned to an index meaning that a grid with n columns would have n 1 line
402,BlLayout,i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout.,0,1,Keyimplementationpoints,i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout
430,BlLayout,performing a layout,0,1,Keyimplementationpoints,performing a layout
120,BlClickEvent,mouse up,0,1,Keyimplementationpoints,mouse up
4311,WATagBrush,element name #tag,0,1,Keyimplementationpoints,element name tag
1135,GtGradAbstractTreeLayout,it calculates left and right subtrees of a tree and merges them.,0,1,Keyimplementationpoints,it calculates left and right subtrees of a tree and merges them
1091,GtExampleFactory,then i execute those methods with the example as a receiver and the pragma arguments.,0,1,Keyimplementationpoints,then i execute those methods with the example as a receiver and the pragma arguments
139,BlDecelerateInterpolator,"i meant to be immutable, therefore factor can be only set using factory method #factor on my class side",0,1,Keyimplementationpoints,i meant to be immutable therefore factor can be only set using factory method factor on my class side
453,BlLayout,todo,0,1,Keyimplementationpoints,todo
1531,SpartaCairoTextMetrics,"they will change slightly due to hinting so you can t assume that metrics are independent of the transformation matrix , but otherwise will remain unchanged.",0,1,Keyimplementationpoints,they will change slightly due to hinting so you can t assume that metrics are independent of the transformation matrix but otherwise will remain unchanged
3791,TROSMShape,compute the osm zoom level with the camera zoom value .,0,1,Keyimplementationpoints,compute the osm zoom level with the camera zoom value
1937,FMModel,i include a system of caches in case my users want to store informations to speed up an application.,0,1,Keyimplementationpoints,i include a system of caches in case my users want to store informations to speed up an application
423,BlLayout,"however, often elements need to reach and perform actions, when for example their position or extent changes.",0,1,Keyimplementationpoints,however often elements need to reach and perform actions when for example their position or extent changes
3891,WACookie,http www^mnot.net blog 2006 10 27 cookie fun,0,1,Keyimplementationpoints,http www mnot net blog 2006 10 27 cookie fun
418,BlLayout,"hence, in bloc layout is not executed immediately after a property like the width of an element changes.",0,1,Keyimplementationpoints,hence in bloc layout is not executed immediately after a property like the width of an element changes
3032,RTBorderAttachPoint,"unline continuousattachpoint & co. you don t need to care about what the end shape is, as long as it is one of the basic shapes.",0,1,Keyimplementationpoints,unline continuousattachpoint co you don t need to care about what the end shape is as long as it is one of the basic shapes
4027,WAFormTag,evaluation order,0,1,Keyimplementationpoints,evaluation order
407,BlLayout,layout phase in a frame,0,1,Keyimplementationpoints,layout phase in a frame
4313,WATagBrush,"common events onxxx , this is a hack and would better be solved with traits",0,1,Keyimplementationpoints,common events onxxx this is a hack and would better be solved with traits
4092,WALabelledFormDialog,override the defaultbutton method to indicate which button is the default.,0,1,Keyimplementationpoints,override the defaultbutton method to indicate which button is the default
3795,TROSMShape,display each tile.,0,1,Keyimplementationpoints,display each tile
3794,TROSMShape,set clipping rectangle to trosmshape bounds.,0,1,Keyimplementationpoints,set clipping rectangle to trosmshape bounds
117,BlClickEvent,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.,0,1,Keyimplementationpoints,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element
3780,TROSMShape,r zoom to osm zoom level base is 1km pixel,0,1,Keyimplementationpoints,r zoom to osm zoom level base is 1km pixel
455,BlLayout,measurement top to bottom though all the composition of elements.,0,1,Keyimplementationpoints,measurement top to bottom though all the composition of elements
4030,WAFormTag,"buttons will always be evaluated last, no matter",0,1,Keyimplementationpoints,buttons will always be evaluated last no matter
3899,WACookie,http msdn2^microsoft.com en us library ms533046^aspx,0,1,Keyimplementationpoints,http msdn2 microsoft com en us library ms533046 aspx
1888,FamixTPackage,java extractors map java packages to famixnamespaces.,0,1,Keyimplementationpoints,java extractors map java packages to famixnamespaces
3897,WACookie,https tools^ietf.org html rfc6265,0,1,Keyimplementationpoints,https tools ietf org html rfc6265
563,BlMatrixDecomposition,translation,0,1,Keyimplementationpoints,translation
251,BlGridLayout,children are allowed to have fitcontent and exact resizing modes.,0,1,Keyimplementationpoints,children are allowed to have fitcontent and exact resizing modes
421,BlLayout,"that can be done using the messafe method blelement #forcelayout this should not be used outside of tests, as it bypasses the normal layouting system from bloc.",0,1,Keyimplementationpoints,that can be done using the messafe method blelement forcelayout this should not be used outside of tests as it bypasses the normal layouting system from bloc
465,BlLayout,layout api,0,1,Keyimplementationpoints,layout api
4031,WAFormTag,where they are positioned.,0,1,Keyimplementationpoints,where they are positioned
3898,WACookie,httponly,0,1,Keyimplementationpoints,httponly
1087,GtExampleFactory,optionally users can configure the factory with an explicit provider.,0,1,Keyimplementationpoints,optionally users can configure the factory with an explicit provider
1938,FMModel,i will initialize myself with a new fmmetamodel but this one can be replaced by an existing one.,0,1,Keyimplementationpoints,i will initialize myself with a new fmmetamodel but this one can be replaced by an existing one
411,BlLayout,"one of them, class blspaceframelayoutphase , consists in layouting the elements contained in the space.",0,1,Keyimplementationpoints,one of them class blspaceframelayoutphase consists in layouting the elements contained in the space
1085,GtExampleFactory,"if the method is defined on the instance side, the provider consists in a new instance of that class.",0,1,Keyimplementationpoints,if the method is defined on the instance side the provider consists in a new instance of that class
2825,PMLineSearch,"the step from x 0 to x 1 suppose to minimize g x i^eg 0 0 , but due to nonlinearity of g x might fail to do so.",0,1,Keyimplementationpoints,the step from x 0 to x 1 suppose to minimize g x i eg 0 0 but due to nonlinearity of g x might fail to do so
448,BlLayout,the measured bounds act like a temporary cache for the new bounds of an element.,0,1,Keyimplementationpoints,the measured bounds act like a temporary cache for the new bounds of an element
1139,GtGradAbstractTreeLayout,"to accomplish that, it uses shapes represented by polyline structures.",0,1,Keyimplementationpoints,to accomplish that it uses shapes represented by polyline structures
414,BlLayout,"however, an important aspect in bloc, is that when one of these properties changes, layouting is not performed immediately.",0,1,Keyimplementationpoints,however an important aspect in bloc is that when one of these properties changes layouting is not performed immediately
246,BlGridLayout,all children of an element with gridlayout must use gridconstraints that allows users to configure how children are located within grid independently.,0,1,Keyimplementationpoints,all children of an element with gridlayout must use gridconstraints that allows users to configure how children are located within grid independently
3900,WACookie,https bugzilla^mozilla.org show bug^cgi?id 178993,0,1,Keyimplementationpoints,https bugzilla mozilla org show bug cgi id 178993
2909,PMStepper,"solving ordinary differential equation numerically is usually done iteratively, that is a given state of an ordinary differential equation is iterated forward x t x t dt x t 2dt .",0,1,Keyimplementationpoints,solving ordinary differential equation numerically is usually done iteratively that is a given state of an ordinary differential equation is iterated forward x t x t dt x t 2dt
4093,WALabelledFormDialog,"for each button in the form the subclass needs a method with the same name as the button, which is called when the user clicks that button.",0,1,Keyimplementationpoints,for each button in the form the subclass needs a method with the same name as the button which is called when the user clicks that button
2827,PMLineSearch,g x g 0 alpha g 0,0,1,Keyimplementationpoints,g x g 0 alpha g 0
1470,GtRlBaselineTagReleaseStrategy,because of this i do not use metadata to check previous versions it is not reliable .,0,1,Keyimplementationpoints,because of this i do not use metadata to check previous versions it is not reliable
1530,SpartaCairoTextMetrics,"if you call cairo scale cr, 20, 20 , text will be drawn twice as big, but the reported text extents will not be doubled.",0,1,Keyimplementationpoints,if you call cairo scale cr 20 20 text will be drawn twice as big but the reported text extents will not be doubled
4029,WAFormTag,appear in the xhtml.,0,1,Keyimplementationpoints,appear in the xhtml
3896,WACookie,cookie 2 spec,0,1,Keyimplementationpoints,cookie 2 spec
440,BlLayout,by default class blelement delegates the measuring to its layout.,0,1,Keyimplementationpoints,by default class blelement delegates the measuring to its layout
467,BlLayout,concrete implementations should focus on measure with and layout in,0,1,Keyimplementationpoints,concrete implementations should focus on measure with and layout in
4028,WAFormTag,the input fields callbacks will be evaluated in the order they,0,1,Keyimplementationpoints,the input fields callbacks will be evaluated in the order they
425,BlLayout,a tipical example is deadling with edges.,0,1,Keyimplementationpoints,a tipical example is deadling with edges
2872,PMODESolver,announcements are made when a step is taken.,0,1,Keyimplementationpoints,announcements are made when a step is taken
3892,WACookie,netscape spec,0,1,Keyimplementationpoints,netscape spec
437,BlLayout,measuring bounds,0,1,Keyimplementationpoints,measuring bounds
177,BlElementDynamicTransformation,it means that matrix computation is performed only when requested taking owner element into account.,0,1,Keyimplementationpoints,it means that matrix computation is performed only when requested taking owner element into account
1484,GtRlCommitAndTagReleaseAction,see method gtrlsemantictagreleasestrategy #commitandtagrelease for more implementation details.,0,1,Keyimplementationpoints,see method gtrlsemantictagreleasestrategy commitandtagrelease for more implementation details
459,BlLayout,changes the real extent to measured extent and the real position to the computed layout position,0,1,Keyimplementationpoints,changes the real extent to measured extent and the real position to the computed layout position
1469,GtRlBaselineTagReleaseStrategy,even if the repository has child repositories there will be no metadata exported.,0,1,Keyimplementationpoints,even if the repository has child repositories there will be no metadata exported
452,BlLayout,commiting changes,0,1,Keyimplementationpoints,commiting changes
