comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
3076,RTCalendarExample,b rtcalendarbuilder new.,0,1,Example,b rtcalendarbuilder new
1310,GtGraphTreemapSquarify,"therefore, we decide that we have reached an optimum for the left half in step two, and start processing the right half.",0,1,Example,therefore we decide that we have reached an optimum for the left half in step two and start processing the right half
2217,MooseEntity,for example,0,1,Example,for example
2490,PRAbstractCommand,basedirectory filesystem workingdirectory,0,1,Example,basedirectory filesystem workingdirectory
1314,GtGraphTreemapSquarify,"in the next step, we add area 3.",0,1,Example,in the next step we add area 3
2652,PRPhase,do each,0,1,Example,do each
3357,RTHighlightableWithCursor,nodes b nodes collection withallsubclasses .,0,1,Example,nodes b nodes collection withallsubclasses
2108,MalLatticePatterns,data # # #cat # #fourlegs #hair # #dog # #smart #fourlegs #hair # #dolphin # #smart #marine # #gibbon # #hair #smart #thumbed # #man # #smart #thumbed # #whale # #smart #marine .,0,1,Example,data cat fourlegs hair dog smart fourlegs hair dolphin smart marine gibbon hair smart thumbed man smart thumbed whale smart marine
3406,RTLabeled,v,0,1,Example,v
3078,RTCalendarExample,b monthshape shape b monthshapepath 150 .,0,1,Example,b monthshape shape b monthshapepath 150
2938,RTAbstractExample,builder example perform met selector.,0,1,Example,builder example perform met selector
2704,PRScreenshotAnnotation,i am used as follows in a document,0,1,Example,i am used as follows in a document
1367,GtGraphTreemapSquarifyLandscapeRectangle,example,0,1,Example,example
2486,PRAbstractCommand,pharo ui pillar^image pillar export to latex chapters chapter1 chapter1^pillar,0,1,Example,pharo ui pillar image pillar export to latex chapters chapter1 chapter1 pillar
3551,RTRectangleAttachPoint,v add l.,0,1,Example,v add l
3704,RTVerticalMultipleData,b,0,1,Example,b
2998,RTBezier3Line,s rtellipse new color color red alpha 04 size 30.,0,1,Example,s rtellipse new color color red alpha 04 size 30
2596,PRInputFileAnnotation,inputfile myfile^pillar,0,1,Example,inputfile myfile pillar
2410,PPSea,"p x, a island, y accepts following inputs",0,1,Example,p x a island y accepts following inputs
3573,RTRotatedLabel,v shape es,0,1,Example,v shape es
3401,RTLabeled,"eg,",0,1,Example,eg
4278,WASelection,selection,0,1,Example,selection
2421,PPSea,a^^^^b,0,1,Example,a b
2552,PRDocumentListAnnotation,"also for the path, the complete path from the project directory.",0,1,Example,also for the path the complete path from the project directory
3223,RTFilterInView,filter spawnblock el rtview new addall el copy yourself .,0,1,Example,filter spawnblock el rtview new addall el copy yourself
2303,TDependencyQueries,afamixmethod query #out with famixaccess.,0,1,Example,afamixmethod query out with famixaccess
3746,RTWeightedCircleLayout,v addall elements.,0,1,Example,v addall elements
3313,RTGrapherSelectRangeViewContext,ds rtdata new.,0,1,Example,ds rtdata new
3696,RTVerticalMultipleData,b rtgrapher new.,0,1,Example,b rtgrapher new
3461,RTLineDecorationExample,size 100,0,1,Example,size 100
2805,PMKolmogorovSmirnov1Sample,ks kolmogorovsmirnov comparedata 1 to 100 collect i nd random withdistribution nd.,0,1,Example,ks kolmogorovsmirnov comparedata 1 to 100 collect i nd random withdistribution nd
1301,GtGraphTreemapSquarify,we next fill the left half.,0,1,Example,we next fill the left half
3353,RTHighlightableWithCursor,b interaction showedge,0,1,Example,b interaction showedge
