comment_sentence_id,class,comment_sentence,partition,instance_type,category,pre_sentence
818,TemplateDoesNotExist,origin is an origin object or duck type and status is a string with the,0,1,Parameters,origin is an origin object or duck type and status is a string with the
812,TemplateDoesNotExist,backend,0,1,Parameters,backend
935,Audio,embed boolean,0,1,Parameters,embed boolean
4240,Adam,params iterable iterable of parameters to optimize or dicts defining,0,1,Parameters,params iterable iterable of parameters to optimize or dicts defining
4536,BCEWithLogitsLoss,"input math n, where math means, any number of additional dimensions",0,1,Parameters,input math n where math means any number of additional dimensions
3739,Request,take place.,0,1,Parameters,take place
2009,PlotAccessor,hexbin hexbin plot.,0,1,Parameters,hexbin hexbin plot
4533,BCEWithLogitsLoss,"pos weight tensor, optional a weight of positive examples.",0,1,Parameters,pos weight tensor optional a weight of positive examples
5355,MultiLabelMarginLoss,none mean sum .,0,1,Parameters,none mean sum
3742,Request,if a dictionary or,0,1,Parameters,if a dictionary or
4514,BCEWithLogitsLoss,ignored,0,1,Parameters,ignored
485,Migration,"operations a list of operation instances, probably from django^db.migrations^operations",0,1,Parameters,operations a list of operation instances probably from django db migrations operations
1891,IntegerArray,whether to copy the values and mask .,0,1,Parameters,whether to copy the values and mask
2547,DataViewSequence,each entry is an instance of item class .,0,1,Parameters,each entry is an instance of item class
3848,Retry,"these are retries made on responses, where status code matches",0,1,Parameters,these are retries made on responses where status code matches
5087,EmbeddingBag,see,0,1,Parameters,see
817,TemplateDoesNotExist,"is formatted as a list of tuples containing origin, status , where",0,1,Parameters,is formatted as a list of tuples containing origin status where
5359,MultiLabelMarginLoss,note attr size average,0,1,Parameters,note attr size average
3856,Retry,see attr retry^default method whitelist .,0,1,Parameters,see attr retry default method whitelist
3409,Option,param is flag forces this option to act as a flag.,0,1,Parameters,param is flag forces this option to act as a flag
3842,Retry,"a redirect is a http response with a status code 301, 302, 303, 307 or",0,1,Parameters,a redirect is a http response with a status code 301 302 303 307 or
2056,PlotAccessor,center .,0,1,Parameters,center
934,Audio,path to a local file to load the data from.,0,1,Parameters,path to a local file to load the data from
1731,CategoricalIndex,"name object, optional",0,1,Parameters,name object optional
823,TemplateDoesNotExist,encapsulate multiple exceptions when loading templates from multiple,0,1,Parameters,encapsulate multiple exceptions when loading templates from multiple
142,BaseCommand,app registry.,0,1,Parameters,app registry
2617,Environment,useful default for linux and os x systems as well as web,0,1,Parameters,useful default for linux and os x systems as well as web
5517,SGD,"nesterov bool, optional enables nesterov momentum default false",0,1,Parameters,nesterov bool optional enables nesterov momentum default false
4305,AdaptiveMaxPool3d,useful to pass to nn^maxunpool3d.,0,1,Parameters,useful to pass to nn maxunpool3d
3622,Path,it,0,1,Parameters,it
2028,PlotAccessor,logy bool or sym default false,0,1,Parameters,logy bool or sym default false
2573,Environment,modifications on environments after the first template was loaded,0,1,Parameters,modifications on environments after the first template was loaded
4736,Conv3d,"a tuple of three ints in which case, the first int is used for the depth dimension,",0,1,Parameters,a tuple of three ints in which case the first int is used for the depth dimension
4521,BCEWithLogitsLoss,"when attr reduce is false , returns a loss per",0,1,Parameters,when attr reduce is false returns a loss per
824,TemplateDoesNotExist,engines.,0,1,Parameters,engines
2015,PlotAccessor,"if a string is passed, print the string",0,1,Parameters,if a string is passed print the string
3740,Request,param json json for the body to attach to the request if files or data is not specified .,0,1,Parameters,param json json for the body to attach to the request if files or data is not specified
5225,FisherSnedecor,df1 float or tensor degrees of freedom parameter 1,0,1,Parameters,df1 float or tensor degrees of freedom parameter 1
4511,BCEWithLogitsLoss,"some losses, there are multiple elements per sample.",0,1,Parameters,some losses there are multiple elements per sample
3747,Request,"param hooks dictionary of callback hooks, for internal usage.",0,1,Parameters,param hooks dictionary of callback hooks for internal usage
2667,Environment,if,0,1,Parameters,if
3885,Retry,the list is in the order,0,1,Parameters,the list is in the order
5578,Subset,arguments,0,1,Parameters,arguments
3420,Option,arguments.,0,1,Parameters,arguments
1713,CategoricalIndex,"if categories are given, values not in",0,1,Parameters,if categories are given values not in
140,BaseCommand,"self^check app configs from handle , where app configs",0,1,Parameters,self check app configs from handle where app configs
5082,EmbeddingBag,into consideration.,0,1,Parameters,into consideration
5358,MultiLabelMarginLoss,"elements in the output, sum the output will be summed.",0,1,Parameters,elements in the output sum the output will be summed
321,DblFromGeom,in by reference as the last argument.,0,1,Parameters,in by reference as the last argument
1887,IntegerArray,a 1 d integer dtype array.,0,1,Parameters,a 1 d integer dtype array
5354,MultiLabelMarginLoss,"reduction string, optional specifies the reduction to apply to the output",0,1,Parameters,reduction string optional specifies the reduction to apply to the output
2675,Environment,cache for the internal jinja bytecode so that templates don t,0,1,Parameters,cache for the internal jinja bytecode so that templates don t
2605,Environment,"removed block, not variable tag!",0,1,Parameters,removed block not variable tag
5702,Unfold,how the sliding blocks are retrieved.,0,1,Parameters,how the sliding blocks are retrieved
5088,EmbeddingBag,notes for more details regarding sparse gradients.,0,1,Parameters,notes for more details regarding sparse gradients
4386,BatchNorm1d,default true,0,1,Parameters,default true
4303,AdaptiveMaxPool3d,be the same as that of the input.,0,1,Parameters,be the same as that of the input
3845,Retry,set to false to disable and imply raise on redirect false .,0,1,Parameters,set to false to disable and imply raise on redirect false
2003,PlotAccessor,box boxplot,0,1,Parameters,box boxplot
1990,PlotAccessor,the object for which the method is called.,0,1,Parameters,the object for which the method is called
5071,EmbeddingBag,"max norm float, optional if given, each embedding vector with norm larger than attr max norm",0,1,Parameters,max norm float optional if given each embedding vector with norm larger than attr max norm
3609,Path,"param exists if set to true, the file or directory needs to exist for",0,1,Parameters,param exists if set to true the file or directory needs to exist for
5513,SGD,lr float learning rate,0,1,Parameters,lr float learning rate
3675,PoolManager,class urllib3^connectionpool.connectionpool instances.,0,1,Parameters,class urllib3 connectionpool connectionpool instances
1653,CategoricalDtype,false if there is no existing ordered to maintain.,0,1,Parameters,false if there is no existing ordered to maintain
4506,BCEWithLogitsLoss,"if given, has to be a tensor of size nbatch .",0,1,Parameters,if given has to be a tensor of size nbatch
2610,Environment,from the start of a line to a block.,0,1,Parameters,from the start of a line to a block
944,Audio,only required when data parameter is being used as an array,0,1,Parameters,only required when data parameter is being used as an array
2654,Environment,cache size,0,1,Parameters,cache size
3403,Option,param confirmation prompt if set then the value will need to be confirmed,0,1,Parameters,param confirmation prompt if set then the value will need to be confirmed
5510,SGD,args,0,1,Parameters,args
1856,ExcelFile,"acceptable values are none, xlrd , openpyxl or odf .",0,1,Parameters,acceptable values are none xlrd openpyxl or odf
3821,Retry,takes precedence over other counts.,0,1,Parameters,takes precedence over other counts
2021,PlotAccessor,legend bool or reverse,0,1,Parameters,legend bool or reverse
2062,PlotAccessor,"yerr dataframe, series, array like, dict and str",0,1,Parameters,yerr dataframe series array like dict and str
126,BaseCommand,a boolean indicating whether the command outputs sql,0,1,Parameters,a boolean indicating whether the command outputs sql
1279,ConfigDict,a default value,0,1,Parameters,a default value
4509,BCEWithLogitsLoss,the losses are averaged over each loss element in the batch.,0,1,Parameters,the losses are averaged over each loss element in the batch
